Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal;IO;ForwardQuery: (openFile $r6.<init>($r7),$r6 (ScriptReaderBinary.openFile) Value: specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7));specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7);<org.hsqldb.scriptio.ScriptReaderBinary: void openFile()>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;776;552;603780;467;38;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>(),r0 (RowInputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>()>());specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>()>();<org.hsqldb.rowio.RowInputBinary: void <init>()>;org.hsqldb.rowio.RowInputBinary;false;false;875;1097;603037;276;97;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>(r1,r2,r3,z0),r0 (RowInputTextQuoted.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>(r1, r2, r3, z0));specialinvoke r0.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>(r1, r2, r3, z0);<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputTextQuoted;false;true;30047;3510;30004;0;476;5923;0;
ideal;IO;ForwardQuery: (openConnection $r9.<init>($r11),$r9 (HSQLClientConnection.openConnection) Value: specialinvoke $r9.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11));specialinvoke $r9.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11);<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;true;30008;5155;30001;0;416;5923;0;
ideal;IO;ForwardQuery: (openInputStreamElement $r3.<init>($r4),$r3 (FileUtil.openInputStreamElement) Value: specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4));specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4);<org.hsqldb.lib.FileUtil: java.io.InputStream openInputStreamElement(java.lang.String)>;org.hsqldb.lib.FileUtil;false;false;14327;3326;542154;7496;129;5923;0;
ideal;IO;ForwardQuery: (initBuffers $r10.<init>($r13,$r12,$r11,0),$r10 (TextCache.initBuffers) Value: specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0));specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;30037;2513;30034;0;468;5923;0;
ideal;IO;ForwardQuery: (deserialize $r3.<init>(r0),$r3 (InOutUtil.deserialize) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r0));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r0);<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;false;61508;5815;497821;6576;112;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>(r1),r0 (RowInputBase.<init>) Value: specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1));specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1);<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>;org.hsqldb.rowio.RowInputBase;false;true;30007;9004;30001;0;512;5923;0;
ideal;IO;ForwardQuery: (openFile $r7.<init>(r1,8192),$r7 (ScriptReaderBinary.openFile) Value: specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>(r1, 8192));specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>(r1, 8192);<org.hsqldb.scriptio.ScriptReaderBinary: void openFile()>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;482;965;406352;126;67;5923;0;
ideal;IO;ForwardQuery: (initBuffers $r1.<init>($r4,$r3,$r2,$z1),$r1 (TextCache.initBuffers) Value: specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1));specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;30010;2506;30007;0;465;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>($r1),r0 (RowInputText.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1));specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputText;false;true;30004;2688;30001;0;477;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>(r1),r0 (RowInputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>(r1));specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>(r1);<org.hsqldb.rowio.RowInputBinary: void <init>(byte[])>;org.hsqldb.rowio.RowInputBinary;false;true;30015;8223;30009;0;493;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>($r1),r0 (RowInputTextLog.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1));specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputTextLog: void <init>()>;org.hsqldb.rowio.RowInputTextLog;false;false;167;905;81;81;80;5923;0;
ideal;IO;ForwardQuery: (decompressFile $r4.<init>($r5,$r6),$r4 (ZipUnzipFile.decompressFile) Value: specialinvoke $r4.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>($r5, $r6));specialinvoke $r4.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>($r5, $r6);<org.hsqldb.lib.ZipUnzipFile: void decompressFile(java.lang.String,java.lang.String,org.hsqldb.lib.FileAccess)>;org.hsqldb.lib.ZipUnzipFile;false;false;49;126;315690;3;6;5923;0;
ideal;IO;ForwardQuery: (initStructures $r3.<init>($r4),$r3 (HSQLClientConnection.initStructures) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>($r4));specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>($r4);<org.hsqldb.HSQLClientConnection: void initStructures()>;org.hsqldb.HSQLClientConnection;false;true;30004;8248;30001;0;113;5923;0;
ideal;IO;ForwardQuery: (readHeartbeat $r15.<init>($r16),$r15 (LockFile.readHeartbeat) Value: specialinvoke $r15.<java.io.FileInputStream: void <init>(java.io.File)>($r16));specialinvoke $r15.<java.io.FileInputStream: void <init>(java.io.File)>($r16);<org.hsqldb.persist.LockFile: long readHeartbeat()>;org.hsqldb.persist.LockFile;false;true;30011;9513;30006;0;702;5923;0;
ideal;IO;ForwardQuery: (openFile $r6.<init>($r7),$r6 (ScriptReaderZipped.openFile) Value: specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7));specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;427;552;255724;372;38;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>($r1),r0 (RowInputBase.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1));specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputBase: void <init>()>;org.hsqldb.rowio.RowInputBase;false;false;425;1581;255304;157;106;5923;0;
ideal;IO;ForwardQuery: (<init> $r4.<init>($r5),$r4 (ScaledRAFile.<init>) Value: specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5));specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;true;30010;3391;30004;0;490;5923;0;
ideal;IO;ForwardQuery: (<init> $r3.<init>(),$r3 (ScriptReaderBinary.<init>) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>()>());specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>()>();<org.hsqldb.scriptio.ScriptReaderBinary: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;402;1096;224880;148;96;5923;0;
ideal;IO;ForwardQuery: (openConnection $r8.<init>($r9),$r8 (HSQLClientConnection.openConnection) Value: specialinvoke $r8.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r9));specialinvoke $r8.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r9);<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;true;30008;9066;30001;0;569;5923;0;
ideal;IO;ForwardQuery: (<init> $r3.<init>(),$r3 (ScriptReaderText.<init>) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>());specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();<org.hsqldb.scriptio.ScriptReaderText: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderText;false;false;179;899;88;86;79;5923;0;
ideal;IO;ForwardQuery: (<init> $r3.<init>($r4),$r3 (ScaledRAFileInJar.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;true;30003;2564;30001;0;437;5923;0;
ideal;IO;ForwardQuery: (<init> $r3.<init>($r4),$r3 (ScaledRAFile.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;true;33714;3653;33708;0;412;5923;0;
ideal;IO;ForwardQuery: (initBuffers $r3.<init>($r4),$r3 (DataFileCache.initBuffers) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>(byte[])>($r4);<org.hsqldb.persist.DataFileCache: void initBuffers()>;org.hsqldb.persist.DataFileCache;false;true;30011;9006;30004;0;642;5923;0;
ideal;IO;ForwardQuery: (readHeartbeat $r14.<init>($r15),$r14 (LockFile.readHeartbeat) Value: specialinvoke $r14.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r15));specialinvoke $r14.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r15);<org.hsqldb.persist.LockFile: long readHeartbeat()>;org.hsqldb.persist.LockFile;false;false;956;197;99693;5;48;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>($r2),r0 (RowInputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2));specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2);<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>;org.hsqldb.rowio.RowInputBinary;false;true;30018;8609;30013;0;112;5923;0;
ideal;IO;ForwardQuery: (openFile $r8.<init>(r1,$r9),$r8 (ScriptReaderZipped.openFile) Value: specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9));specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;4357;2252;69696;1469;117;5923;0;
ideal;IO;ForwardQuery: (resetStream $r5.<init>(r1),$r5 (ScaledRAFileInJar.resetStream) Value: specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.persist.ScaledRAFileInJar: void resetStream()>;org.hsqldb.persist.ScaledRAFileInJar;false;true;30030;3197;30026;0;629;5923;0;
ideal;IO;ForwardQuery: (<init> r0.<init>(),r0 (HsqlByteArrayInputStream.<init>) Value: specialinvoke r0.<java.io.InputStream: void <init>()>());specialinvoke r0.<java.io.InputStream: void <init>()>();<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>;org.hsqldb.lib.HsqlByteArrayInputStream;false;true;33818;2566;33815;0;396;5923;0;
ideal;IO;ForwardQuery: (deserialize $r4.<init>(r1),$r4 (InOutUtil.deserialize) Value: specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;false;177;1147;84;87;35;5923;0;
ideal;IO;ForwardQuery: (openFile $r8.<init>(r1),$r8 (ScriptReaderText.openFile) Value: specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.scriptio.ScriptReaderText: void openFile()>;org.hsqldb.scriptio.ScriptReaderText;false;false;73;46;36;34;5;5923;0;
