Analysis;Rule;Seed;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;
ideal;EmptyVector;ForwardQuery: (dacapo.hsqldb.PseudoJDBCBench.<init> $r6 = new Vector,$r6 (PseudoJDBCBench.<init>) Value: new java.util.Vector);<dacapo.hsqldb.PseudoJDBCBench: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;dacapo.hsqldb.PseudoJDBCBench;false;false;1424;733;1236;58;17;5923;
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;<dacapo.hsqldb.PseudoJDBCBench: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;dacapo.hsqldb.PseudoJDBCBench;false;false;591;951;201;390;16;5923;
ideal;IO;ForwardQuery: (org.hsqldb.HSQLClientConnection.openConnection $r8.<init>($r9),$r8 (HSQLClientConnection.openConnection) Value: specialinvoke $r8.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r9));<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;false;2593;9048;1531;1069;165;5923;
ideal;IO;ForwardQuery: (org.hsqldb.scriptio.ScriptReaderBinary.<init> $r3.<init>(),$r3 (ScriptReaderBinary.<init>) Value: specialinvoke $r3.<org.hsqldb.rowio.RowInputBinary: void <init>()>());<org.hsqldb.scriptio.ScriptReaderBinary: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;617;1154;541;267;110;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputBinary.<init> r0.<init>(),r0 (RowInputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>()>());<org.hsqldb.rowio.RowInputBinary: void <init>()>;org.hsqldb.rowio.RowInputBinary;false;false;501;1154;432;245;110;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.ScaledRAFileInJar.<init> $r3.<init>($r4),$r3 (ScaledRAFileInJar.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;false;68;807;32;31;35;5923;
ideal;IO;ForwardQuery: (org.hsqldb.persist.ScaledRAFile.<init> $r4.<init>($r5),$r4 (ScaledRAFile.<init>) Value: specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5));<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;72;797;32;36;35;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputTextQuoted.<init> r0.<init>(r1,r2,r3,z0),r0 (RowInputTextQuoted.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>(r1, r2, r3, z0));<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputTextQuoted;false;false;5;43;2;1;8;5923;
ideal;IO;ForwardQuery: (org.hsqldb.lib.InOutUtil.deserialize $r4.<init>(r1),$r4 (InOutUtil.deserialize) Value: specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1));<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;false;103;1147;50;49;35;5923;
ideal;IO;ForwardQuery: (org.hsqldb.rowio.RowInputTextLog.<init> r0.<init>($r1),r0 (RowInputTextLog.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1));<org.hsqldb.rowio.RowInputTextLog: void <init>()>;org.hsqldb.rowio.RowInputTextLog;false;false;76;866;35;38;80;5923;
