x,y,r,times,opacity,seeds,timeouts
1,1,0.10053999145299146,0.8,0.18571428571428572,78,0
2,1,0.10271937142857143,4.1,0.17692307692307693,70,0
3,1,0.10086344513457557,1.3,0.27692307692307694,161,0
4,1,0.10960423563218391,14.4,0.48241758241758237,348,1
5,1,0.1085232380952381,12.8,0.16153846153846155,56,1
2,2,0.26990777777777775,254.9,0.1032967032967033,3,1
4,2,0.5,600.0,0.1032967032967033,3,3
5,2,0.46388816666666666,545.8,0.1087912087912088,8,7
2,3,0.5,600.0,0.1054945054945055,5,5
3,3,0.25847977777777775,237.7,0.1032967032967033,3,1
4,3,0.38063783333333334,421.0,0.11758241758241758,16,9
5,3,0.5,600.0,0.1032967032967033,3,3
4,4,0.5,600.0,0.1065934065934066,6,6
5,4,0.5,600.0,0.1142857142857143,13,13
4,5,0.5,600.0,0.1032967032967033,3,3
5,5,0.5,600.0,0.1087912087912088,8,8
