Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r21 @ specialinvoke $r21.<java.io.FileInputStream: void <init>(java.io.File)>(r104);specialinvoke $r21.<java.io.FileInputStream: void <init>(java.io.File)>(r104);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClass(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;46252;1642;46252;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r2);specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r2);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClassFromStream(java.io.File,java.io.InputStream)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;false;555;1596;367;188;30;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;true;212537;720;212537;0;32;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;134;194;22;112;9;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r47 @ specialinvoke $r47.<java.io.FileInputStream: void <init>(java.io.File)>(r99);specialinvoke $r47.<java.io.FileInputStream: void <init>(java.io.File)>(r99);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClass(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;601170;18226;601170;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r1);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClassFromFile(java.io.File)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;38543;1646;38543;0;56;4467;r3[head, parent, next, prev, right, after, before, value, map];0;
ideal-ap;IO;$r12 @ $r12 = new dacapo.TeePrintStream;$r12 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;true;false;1640;904;1287;353;27;4467;r0[val$visitor, this$0, dump, out, lock];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;true;2265;1759;2265;0;32;4467;r0[vn, out, lock];0;
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;true;16033;1764;16033;0;33;4467;r0[vn, out, lock];0;
ideal-ap;IO;$r1 @ $r1 = new java.io.PrintStream;$r1 = new java.io.PrintStream;<EDU.purdue.cs.bloat.cfg.FlowGraph: void printGraph()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;true;342392;6869144;342392;0;819;4467;r0[c, this$1, this$1, this$1, this$1, this$0, this$0, out, lock, psOut];0;
