Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1168;492;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1169;492;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ArgListCompiler: void <init>()> $r1 = new Vector,$r1 (ArgListCompiler.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;false;1212865;93927;1120;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ArgListCompiler: void <init>()> $r1 = new Vector,$r1 (ArgListCompiler.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;false;1213142;93927;1120;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)> $r2 = new Vector,$r2 (CodeCompiler.<init>) Value: new java.util.Vector);$r2 = new java.util.Vector;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;600130;78610;901;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)> $r3 = new Stack,$r3 (ScopesCompiler.<init>) Value: new java.util.Stack);$r3 = new java.util.Stack;<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;1254760;86922;960;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)> $r4 = new Vector,$r4 (MakeProxies.makeClass) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;212;261;15;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)> $r4 = new Vector,$r4 (MakeProxies.makeClass) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;213;261;15;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r5 = new Vector,$r5 (ScopeInfo.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;false;1251094;95155;1197;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r5 = new Vector,$r5 (ScopeInfo.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;false;1251397;95155;1197;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.parser.JJTPythonGrammarState: void <init>()> $r1 = new Stack,$r1 (JJTPythonGrammarState.<init>) Value: new java.util.Stack);$r1 = new java.util.Stack;<org.python.parser.JJTPythonGrammarState: void <init>()>;org.python.parser.JJTPythonGrammarState;true;true;600122;39112;316;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r7 = new Vector,$r7 (ScopeInfo.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;639893;95843;1194;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])> $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;127;488;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])> $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;127;488;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;87;492;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;88;492;14;4268;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)> $r9 = new Vector,$r9 (ClassFile.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;613246;108065;1222;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)> $r9 = new Vector,$r9 (ScopeInfo.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;693705;102338;1216;4268;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.python.compiler.ArgListCompiler: void <init>()> $r3 = new Vector,$r3 (ArgListCompiler.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;1265707;103603;1219;4268;true;true;0;0;
