Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)> $r4 = new Vector,$r4 (IndexWriter.deleteSegments) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;820;394;16;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)> $r4 = new Vector,$r4 (IndexWriter.deleteSegments) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;821;394;16;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)> $r22 = new Vector,$r22 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r22 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;1738;1651;30;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)> $r22 = new Vector,$r22 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r22 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;1742;1651;30;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.store.RAMFile: void <init>()> $r1 = new Vector,$r1 (RAMFile.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;true;false;13228;10717;85;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.store.RAMFile: void <init>()> $r1 = new Vector,$r1 (RAMFile.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;true;false;13241;10717;85;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)> $r7 = new Vector,$r7 (SegmentMerger.createCompoundFile) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;272;1088;29;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)> $r7 = new Vector,$r7 (SegmentMerger.createCompoundFile) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;273;1088;29;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;68;492;14;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;69;492;14;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)> $r23 = new Vector,$r23 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r23 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;933;1847;31;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)> $r23 = new Vector,$r23 (TermVectorsWriter.<init>) Value: new java.util.Vector);$r23 = new java.util.Vector;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;936;1847;31;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)> $r8 = new Vector,$r8 (IndexWriter.mergeSegments) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;202;853;22;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)> $r8 = new Vector,$r8 (IndexWriter.mergeSegments) Value: new java.util.Vector);$r8 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;203;853;22;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.document.Document: void <init>()> $r1 = new Vector,$r1 (Document.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;527;1656;27;2215;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.document.Document: void <init>()> $r1 = new Vector,$r1 (Document.<init>) Value: new java.util.Vector);$r1 = new java.util.Vector;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;529;1656;27;2215;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])> $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;109;488;14;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])> $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;109;488;14;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;661;1669;34;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.<init>) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;662;1669;34;2215;true;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)> $r3 = new Vector,$r3 (SegmentMerger.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;766;2748;30;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)> $r3 = new Vector,$r3 (SegmentMerger.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;769;2748;30;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()> $r4 = new Vector,$r4 (IndexWriter.readDeleteableFiles) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;118;377;17;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()> $r4 = new Vector,$r4 (IndexWriter.readDeleteableFiles) Value: new java.util.Vector);$r4 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;121;377;17;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)> $r3 = new Vector,$r3 (IndexWriter.deleteFiles) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;200;334;16;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)> $r3 = new Vector,$r3 (IndexWriter.deleteFiles) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;201;334;16;2215;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)> $r7 = new SegmentInfos,$r7 (IndexWriter.<init>) Value: new org.apache.lucene.index.SegmentInfos);$r7 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;true;false;4210;3643;55;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)> $r7 = new SegmentInfos,$r7 (IndexWriter.<init>) Value: new org.apache.lucene.index.SegmentInfos);$r7 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;true;false;4213;3643;55;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)> $r3 = new Vector,$r3 (StandardTokenizer.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;705;1713;34;2215;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)> $r3 = new Vector,$r3 (StandardTokenizer.<init>) Value: new java.util.Vector);$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;707;1713;34;2215;true;true;0;0;
