Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)> r1.iterator(),r3 (Similarity.idf) Value: interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>());r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;1102;98;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.ConjunctionScorer: float score()> $r2.iterator(),r1 (ConjunctionScorer.score) Value: virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>());r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;false;431;92;5;2514;true;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.ConjunctionScorer: void init(boolean)> $r6.iterator(),r1 (ConjunctionScorer.init) Value: virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>());r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;96;101;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<dacapo.Benchmark: void postIterationCleanup(java.lang.String)> $r5.iterator(),r2 (Benchmark.postIterationCleanup) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;41;94;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()> $r3.iterator(),r1 (DisjunctionSumScorer.initScorerQueue) Value: interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>());r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;false;416;106;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)> $r8.iterator(),r3 (MultiPhraseQuery.toString) Value: virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>());r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;89;162;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)> $r6.iterator(),r3 (MultiPhraseQuery$MultiPhraseWeight.<init>) Value: virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>());r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;252;112;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)> r1.iterator(),r2 (MultipleTermPositions$TermPositionsQueue.<init>) Value: interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>());r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;false;92;90;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<dacapo.Benchmark: boolean validate(java.lang.String)> $r5.iterator(),r2 (Benchmark.validate) Value: interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>());r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;316;452;5;2514;false;false;0;0;
ideal;IteratorHasNext;ForwardQuery: (<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)> r1.iterator(),r3 (BooleanScorer2.countingConjunctionSumScorer) Value: interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>());r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;false;304;92;5;2514;false;false;0;0;
