Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IteratorHasNext;r191 @ r191 = interfaceinvoke $r20.<java.util.Set: java.util.Iterator iterator()>();r191 = interfaceinvoke $r20.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.PapariTextRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.PapariTextRenderer;false;true;3421;496;3421;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSet: boolean usesDFA()>;net.sourceforge.pmd.RuleSet;false;true;1608;52;1608;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.ClassScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.ClassScope;false;true;1425;71;1425;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSets: java.util.Set getAllRules()>;net.sourceforge.pmd.RuleSets;false;false;171;51;30;141;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.MethodScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.MethodScope;true;false;121;71;17;104;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r6 @ $r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();$r6 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.LocalScope: java.util.Map getVariableDeclarations()>;net.sourceforge.pmd.symboltable.LocalScope;true;false;174;71;19;155;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r5 @ $r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();$r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.MethodScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.MethodScope;false;true;13310;109;13310;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r46 @ $r46 = interfaceinvoke $r45.<java.util.Set: java.util.Iterator iterator()>();$r46 = interfaceinvoke $r45.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.ClassScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.ClassScope;false;true;2083;424;2083;0;5;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.CSVRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.CSVRenderer;false;false;1191;72;912;279;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r11 @ $r11 = interfaceinvoke $r10.<java.util.Set: java.util.Iterator iterator()>();$r11 = interfaceinvoke $r10.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.ClassScope: net.sourceforge.pmd.symboltable.NameDeclaration findVariableHere(net.sourceforge.pmd.symboltable.NameOccurrence)>;net.sourceforge.pmd.symboltable.ClassScope;true;false;30100;40;30022;78;3;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;216;410;124;92;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>();r2 = interfaceinvoke $r4.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSet: net.sourceforge.pmd.Rule getRuleByName(java.lang.String)>;net.sourceforge.pmd.RuleSet;false;true;1333;54;1333;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r5 @ r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>();r5 = interfaceinvoke r4.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.OccurrenceFinder: java.lang.Object visit(net.sourceforge.pmd.ast.ASTPrimaryExpression,java.lang.Object)>;net.sourceforge.pmd.symboltable.OccurrenceFinder;false;false;202;60;126;76;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r4 @ r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>();r4 = interfaceinvoke r3.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: java.util.List markUsages(net.sourceforge.pmd.dfa.IDataFlowNode)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;true;3310;111;3310;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r4 @ r4 = interfaceinvoke $r6.<java.util.Collection: java.util.Iterator iterator()>();r4 = interfaceinvoke $r6.<java.util.Collection: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSets: void apply(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.Language)>;net.sourceforge.pmd.RuleSets;false;false;106;53;30;76;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r47 @ r47 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();r47 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.VBHTMLRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.VBHTMLRenderer;false;false;186;106;110;76;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke r0.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke r0.<java.util.List: java.util.Iterator iterator()>();<dacapo.pmd.PmdHarness: java.lang.String commaSeparate(java.util.List)>;dacapo.pmd.PmdHarness;false;false;97;62;21;76;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;116;71;43;73;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();r2 = interfaceinvoke $r4.<java.util.Collection: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSets: boolean usesDFA(net.sourceforge.pmd.Language)>;net.sourceforge.pmd.RuleSets;false;false;99;55;29;70;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r5 @ $r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();$r5 = interfaceinvoke $r4.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.LocalScope: java.lang.String toString()>;net.sourceforge.pmd.symboltable.LocalScope;false;true;1471;109;1471;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke $r5.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke $r5.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.RuleSet: void apply(java.util.List,net.sourceforge.pmd.RuleContext)>;net.sourceforge.pmd.RuleSet;false;true;20027;50;20027;0;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r94 @ r94 = interfaceinvoke $r20.<java.util.List: java.util.Iterator iterator()>();r94 = interfaceinvoke $r20.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.XMLRenderer: java.lang.String render(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.XMLRenderer;false;false;120;70;54;66;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();r3 = virtualinvoke r1.<net.sourceforge.pmd.Report: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.HTMLRenderer: java.lang.StringBuffer glomIRuleViolations(net.sourceforge.pmd.Report)>;net.sourceforge.pmd.renderers.HTMLRenderer;false;false;165;126;99;66;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;$r7 @ $r7 = interfaceinvoke $r6.<java.util.Set: java.util.Iterator iterator()>();$r7 = interfaceinvoke $r6.<java.util.Set: java.util.Iterator iterator()>();<net.sourceforge.pmd.symboltable.SourceFileScope: net.sourceforge.pmd.symboltable.NameDeclaration findVariableHere(net.sourceforge.pmd.symboltable.NameOccurrence)>;net.sourceforge.pmd.symboltable.SourceFileScope;true;false;60474;71;60025;449;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke $r5.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke $r5.<java.util.List: java.util.Iterator iterator()>();<net.sourceforge.pmd.renderers.TextRenderer: void addSuppressed(net.sourceforge.pmd.Report,java.lang.StringBuffer)>;net.sourceforge.pmd.renderers.TextRenderer;false;false;117;70;51;66;4;3795;r0[desc, table, array, next, value, attribute, variableNames, keySet];0;
