Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()> $r8.<init>(r1,$r9),$r8 (ScriptReaderZipped.openFile) Value: specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9));specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;15539;3429;82;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()> $r8.<init>(r1,$r9),$r8 (ScriptReaderZipped.openFile) Value: specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9));specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;15550;3429;82;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)> $r4.<init>($r5),$r4 (ScaledRAFile.<init>) Value: specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5));specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;259;1696;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)> $r4.<init>($r5),$r4 (ScaledRAFile.<init>) Value: specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5));specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;262;1696;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)> $r3.<init>($r4),$r3 (ScaledRAFileInJar.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;false;272;1714;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)> $r3.<init>($r4),$r3 (ScaledRAFileInJar.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;false;274;1714;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptWriterZipped: void openFile()> $r5.<init>(r1,$r6,varReplacer9821),$r5 (ScriptWriterZipped.openFile) Value: specialinvoke $r5.<java.util.zip.DeflaterOutputStream: void <init>(java.io.OutputStream,java.util.zip.Deflater,int)>(r1, $r6, varReplacer9821));specialinvoke $r5.<java.util.zip.DeflaterOutputStream: void <init>(java.io.OutputStream,java.util.zip.Deflater,int)>(r1, $r6, varReplacer9821);<org.hsqldb.scriptio.ScriptWriterZipped: void openFile()>;org.hsqldb.scriptio.ScriptWriterZipped;false;false;6420;2729;89;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptWriterZipped: void openFile()> $r5.<init>(r1,$r6,varReplacer9821),$r5 (ScriptWriterZipped.openFile) Value: specialinvoke $r5.<java.util.zip.DeflaterOutputStream: void <init>(java.io.OutputStream,java.util.zip.Deflater,int)>(r1, $r6, varReplacer9821));specialinvoke $r5.<java.util.zip.DeflaterOutputStream: void <init>(java.io.OutputStream,java.util.zip.Deflater,int)>(r1, $r6, varReplacer9821);<org.hsqldb.scriptio.ScriptWriterZipped: void openFile()>;org.hsqldb.scriptio.ScriptWriterZipped;false;false;6429;2729;89;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.rowio.RowOutputBinary: void <init>()> r0.<init>(),r0 (RowOutputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowOutputBase: void <init>()>());specialinvoke r0.<org.hsqldb.rowio.RowOutputBase: void <init>()>();<org.hsqldb.rowio.RowOutputBinary: void <init>()>;org.hsqldb.rowio.RowOutputBinary;false;false;16097;4199;105;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.rowio.RowOutputBinary: void <init>()> r0.<init>(),r0 (RowOutputBinary.<init>) Value: specialinvoke r0.<org.hsqldb.rowio.RowOutputBase: void <init>()>());specialinvoke r0.<org.hsqldb.rowio.RowOutputBase: void <init>()>();<org.hsqldb.rowio.RowOutputBinary: void <init>()>;org.hsqldb.rowio.RowOutputBinary;false;false;16107;4199;105;6016;false;true;0;0;
