Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/LEGatherer, getLEs(LEDU/purdue/cs/bloat/cfg/Block,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2eebce87;<EDU.purdue.cs.bloat.tree.LEGatherer: java.util.Vector getLEs(EDU.purdue.cs.bloat.cfg.Block)>;EDU.purdue.cs.bloat.tree.LEGatherer;false;true;0;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@698d6d30;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;4132;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78065fcd;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;4422;7789;0;0;102;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3407aa4f;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;4268;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/Peephole, removeUnreachable(LEDU/purdue/cs/bloat/editor/MethodEditor,Ljava/util/List,)V >:NEW <Application,Ljava/util/Stack>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@51ed2f68;<EDU.purdue.cs.bloat.trans.Peephole: void removeUnreachable(EDU.purdue.cs.bloat.editor.MethodEditor,java.util.List)>;EDU.purdue.cs.bloat.trans.Peephole;false;false;8530;138505;0;0;2278;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@538b3c88;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;8638;147197;0;0;2332;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4243341e;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;true;0;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/UnionFind, findNode(LEDU/purdue/cs/bloat/util/UnionFind$Node,)LEDU/purdue/cs/bloat/util/UnionFind$Node, >:NEW <Application,Ljava/util/Stack>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2037f12b;<EDU.purdue.cs.bloat.util.UnionFind: EDU.purdue.cs.bloat.util.UnionFind$Node findNode(EDU.purdue.cs.bloat.util.UnionFind$Node)>;EDU.purdue.cs.bloat.util.UnionFind;false;false;3625;4003;0;0;60;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, splitReducibleLoops()V >:NEW <Application,Ljava/util/Stack>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@687a0e40;<EDU.purdue.cs.bloat.cfg.FlowGraph: void splitReducibleLoops()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;8781;169447;0;0;2787;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/AscendVisitor, <init>(Ljava/util/Hashtable,Ljava/util/Hashtable,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3562e7c7;<EDU.purdue.cs.bloat.tree.AscendVisitor: void <init>(java.util.Hashtable,java.util.Hashtable)>;EDU.purdue.cs.bloat.tree.AscendVisitor;false;true;0;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@30358dc7;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3219;0;0;0;0;4203;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/editor/CodeArray, buildCode()V >:NEW <Application,Ljava/util/Stack>@996 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7fac18dc;<EDU.purdue.cs.bloat.editor.CodeArray: void buildCode()>;EDU.purdue.cs.bloat.editor.CodeArray;false;false;7376;138573;0;0;2279;4203;0;
