Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/CodeGenerator, removeEmptyBlocks(LEDU/purdue/cs/bloat/cfg/FlowGraph,)V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@312 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40dd552c;<EDU.purdue.cs.bloat.codegen.CodeGenerator: void removeEmptyBlocks(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.codegen.CodeGenerator;false;false;11922;134522;0;0;2270;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/Graph$NodeList, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/util/Graph$3>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7d88fa9c;<EDU.purdue.cs.bloat.util.Graph$NodeList: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.util.Graph$NodeList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, insertConditionalStores()V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@e154848;<EDU.purdue.cs.bloat.cfg.FlowGraph: void insertConditionalStores()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;9460;150358;0;0;2791;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/AbstractMap$2, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/AbstractMap$2$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4eb63dc8;<java.util.AbstractMap$2: java.util.Iterator iterator()>;<Primordial,Ljava.util.AbstractMap$2;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7c421952;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@126a9a3d;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/Tree$StmtList, listIterator(I)Ljava/util/ListIterator, >:NEW <Application,LEDU/purdue/cs/bloat/tree/Tree$1>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@61c5fd78;<EDU.purdue.cs.bloat.tree.Tree$StmtList: java.util.ListIterator listIterator(int)>;EDU.purdue.cs.bloat.tree.Tree$StmtList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54941dfd;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/AbstractMap$1, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/AbstractMap$1$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4345fd45;<java.util.AbstractMap$1: java.util.Iterator iterator()>;<Primordial,Ljava.util.AbstractMap$1;false;false;8333;67943;0;0;2276;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/SSAPRE$11, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/trans/SSAPRE$12>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@141b011a;<EDU.purdue.cs.bloat.trans.SSAPRE$11: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.trans.SSAPRE$11;false;false;6594;68336;0;0;2287;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph$7, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/cfg/FlowGraph$8>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5fe3b058;<EDU.purdue.cs.bloat.cfg.FlowGraph$7: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.cfg.FlowGraph$7;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/Liveness, computeIntersections()V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@794 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a661215;<EDU.purdue.cs.bloat.codegen.Liveness: void computeIntersections()>;EDU.purdue.cs.bloat.codegen.Liveness;false;false;8359;134487;0;0;2268;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/Tree$StmtList, iterator()Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/tree/Tree$2>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d6d683e;<EDU.purdue.cs.bloat.tree.Tree$StmtList: java.util.Iterator iterator()>;EDU.purdue.cs.bloat.tree.Tree$StmtList;false;true;0;0;0;0;0;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/CodeGenerator, removeEmptyBlocks(LEDU/purdue/cs/bloat/cfg/FlowGraph,)V >:NEW <Application,LEDU/purdue/cs/bloat/util/ImmutableIterator>@660 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@42cfd794;<EDU.purdue.cs.bloat.codegen.CodeGenerator: void removeEmptyBlocks(EDU.purdue.cs.bloat.cfg.FlowGraph)>;EDU.purdue.cs.bloat.codegen.CodeGenerator;false;false;8888;134567;0;0;2271;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/codegen/Liveness, intersections(LEDU/purdue/cs/bloat/tree/VarExpr,)Ljava/util/Iterator, >:NEW <Application,LEDU/purdue/cs/bloat/codegen/Liveness$1>@63 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@43778371;<EDU.purdue.cs.bloat.codegen.Liveness: java.util.Iterator intersections(EDU.purdue.cs.bloat.tree.VarExpr)>;EDU.purdue.cs.bloat.codegen.Liveness;false;false;8548;134947;0;0;2272;4203;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71beada8;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;true;0;0;0;0;0;4203;0;
