Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/LEGatherer, getLEs(LEDU/purdue/cs/bloat/cfg/Block,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@66b0e207;<EDU.purdue.cs.bloat.tree.LEGatherer: java.util.Vector getLEs(EDU.purdue.cs.bloat.cfg.Block)>;EDU.purdue.cs.bloat.tree.LEGatherer;true;false;12563;185117;0;0;2279;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e74fd84;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;4187;0;0;0;0;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@147efd9;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;9235;161469;0;0;2297;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1e120628;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;4094;0;0;0;0;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/trans/Peephole, removeUnreachable(LEDU/purdue/cs/bloat/editor/MethodEditor,Ljava/util/List,)V >:NEW <Application,Ljava/util/Stack>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4e4894d;<EDU.purdue.cs.bloat.trans.Peephole: void removeUnreachable(EDU.purdue.cs.bloat.editor.MethodEditor,java.util.List)>;EDU.purdue.cs.bloat.trans.Peephole;false;false;9860;184875;0;0;2283;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de5cc88;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;8968;169382;0;0;2373;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23e2c1ca;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;9426;174546;0;0;2425;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/util/UnionFind, findNode(LEDU/purdue/cs/bloat/util/UnionFind$Node,)LEDU/purdue/cs/bloat/util/UnionFind$Node, >:NEW <Application,Ljava/util/Stack>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2d4fb0d8;<EDU.purdue.cs.bloat.util.UnionFind: EDU.purdue.cs.bloat.util.UnionFind$Node findNode(EDU.purdue.cs.bloat.util.UnionFind$Node)>;EDU.purdue.cs.bloat.util.UnionFind;false;false;4131;2035;0;0;61;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, splitReducibleLoops()V >:NEW <Application,Ljava/util/Stack>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@c262f2f;<EDU.purdue.cs.bloat.cfg.FlowGraph: void splitReducibleLoops()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;10772;227559;0;0;2792;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/tree/AscendVisitor, <init>(Ljava/util/Hashtable,Ljava/util/Hashtable,)V >:NEW <Application,Ljava/util/Vector>@15 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5112b7;<EDU.purdue.cs.bloat.tree.AscendVisitor: void <init>(java.util.Hashtable,java.util.Hashtable)>;EDU.purdue.cs.bloat.tree.AscendVisitor;false;false;7054;135518;0;0;2279;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56835f2f;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;4360;0;0;0;0;4203;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/editor/CodeArray, buildCode()V >:NEW <Application,Ljava/util/Stack>@996 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40f1aa95;<EDU.purdue.cs.bloat.editor.CodeArray: void buildCode()>;EDU.purdue.cs.bloat.editor.CodeArray;false;false;9722;184971;0;0;2284;4203;0;
