Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@66b0e207;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;true;false;26956;647331;0;0;3841;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/optimize/Main, editClass(Ljava/lang/String,)V >:NEW <Application,Ljava/io/FileOutputStream>@448 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e74fd84;<EDU.purdue.cs.bloat.optimize.Main: void editClass(java.lang.String)>;EDU.purdue.cs.bloat.optimize.Main;false;false;25711;645905;0;0;3841;4203;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Application,Ldacapo/TeeOutputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@147efd9;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9a617539;false;false;3812;0;0;0;0;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/optimize/Main, editClass(Ljava/lang/String,)V >:NEW <Application,Ljava/io/DataOutputStream>@444 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1e120628;<EDU.purdue.cs.bloat.optimize.Main: void editClass(java.lang.String)>;EDU.purdue.cs.bloat.optimize.Main;false;false;14231;360797;0;0;3841;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4e4894d;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;11426;268693;0;0;3841;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/cfg/FlowGraph, printGraph()V >:NEW <Application,Ljava/io/FileOutputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de5cc88;<EDU.purdue.cs.bloat.cfg.FlowGraph: void printGraph()>;EDU.purdue.cs.bloat.cfg.FlowGraph;false;false;21751;663169;0;0;3841;4203;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileWriter, <init>(Ljava/lang/String,Z)V >:NEW <Primordial,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23e2c1ca;<java.io.FileWriter: void <init>(java.lang.String,boolean)>;<Primordial,Ljava.io.FileWriter;false;false;20625;644578;0;0;3853;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, LEDU/purdue/cs/bloat/file/ClassFileLoader, loadClass(Ljava/lang/String,)LEDU/purdue/cs/bloat/reflect/ClassInfo, >:NEW <Application,Ljava/io/FileInputStream>@724 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@464aeb09;<EDU.purdue.cs.bloat.file.ClassFileLoader: EDU.purdue.cs.bloat.reflect.ClassInfo loadClass(java.lang.String)>;EDU.purdue.cs.bloat.file.ClassFileLoader;false;true;0;0;0;0;0;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@41e8d917;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;6372;70796;0;0;2291;4203;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeePrintStream, <init>(Ljava/io/OutputStream,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeeOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2d4fb0d8;<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;true;false;18650;539743;0;0;3841;4203;0;
