Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@218 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@405d8a80;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;15204;304894;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@338d47b;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3125;0;0;0;0;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d1cfe4;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;3438;7747;0;0;97;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/jfree/base/config/SystemPropertyConfiguration, getConfigProperties()Ljava/util/Enumeration, >:NEW <Application,Ljava/util/Vector>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ba562e0;<org.jfree.base.config.SystemPropertyConfiguration: java.util.Enumeration getConfigProperties()>;org.jfree.base.config.SystemPropertyConfiguration;false;false;3157;0;0;0;0;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5a51336a;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;4301;37143;0;0;500;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@34cb0e49;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;13594;379868;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/chart/ChartHarness, iterate(Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@48b2dbc4;<dacapo.chart.ChartHarness: void iterate(java.lang.String)>;dacapo.chart.ChartHarness;false;false;2860;2483;0;0;72;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, setAttributes(Ljava/util/Map,I)V >:NEW <Primordial,Ljava/util/Vector>@34 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a667f44;<java.text.AttributedString: void setAttributes(java.util.Map,int)>;<Primordial,Ljava.text.AttributedString;false;false;23080;649379;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@234 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@780129bc;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;13644;299613;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@e886caf;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3532;0;0;0;0;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4387d2f4;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;8483;198543;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, setAttributes(Ljava/util/Map,I)V >:NEW <Primordial,Ljava/util/Vector>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@474ce6b8;<java.text.AttributedString: void setAttributes(java.util.Map,int)>;<Primordial,Ljava.text.AttributedString;false;false;19805;665203;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, addAttributeRunData(Ljava/text/AttributedCharacterIterator$Attribute,Ljava/lang/Object,II)V >:NEW <Primordial,Ljava/util/Vector>@23 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@78fb72cb;<java.text.AttributedString: void addAttributeRunData(java.text.AttributedCharacterIterator$Attribute,java.lang.Object,int,int)>;<Primordial,Ljava.text.AttributedString;false;false;21680;632838;0;0;3738;4500;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@774013dc;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3422;0;0;0;0;4500;0;
