Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2830315f;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;true;false;10460;165466;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@73b0ed03;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;29531;813407;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70485aa;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;29553;813719;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4bf8b77;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9da184c0;false;false;4000;0;0;0;0;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@401926df;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;19969;642247;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfImage, <init>(Lcom/lowagie/text/Image,Ljava/lang/String,Lcom/lowagie/text/pdf/PdfIndirectReference,)V >:NEW <Application,Ljava/io/ByteArrayInputStream>@867 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3ff8a3ad;<com.lowagie.text.pdf.PdfImage: void <init>(com.lowagie.text.Image,java.lang.String,com.lowagie.text.pdf.PdfIndirectReference)>;com.lowagie.text.pdf.PdfImage;false;false;3953;18234;0;0;644;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/jfree/base/config/PropertyFileConfiguration, load(Ljava/io/InputStream,)V >:NEW <Application,Ljava/io/BufferedInputStream>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@550fa96f;<org.jfree.base.config.PropertyFileConfiguration: void load(java.io.InputStream)>;org.jfree.base.config.PropertyFileConfiguration;false;false;3036;0;0;0;0;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfFileSpecification, fileEmbedded(Lcom/lowagie/text/pdf/PdfWriter,Ljava/lang/String,Ljava/lang/String,[B)Lcom/lowagie/text/pdf/PdfFileSpecification, >:NEW <Application,Ljava/io/FileInputStream>@52 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71fb8301;<com.lowagie.text.pdf.PdfFileSpecification: com.lowagie.text.pdf.PdfFileSpecification fileEmbedded(com.lowagie.text.pdf.PdfWriter,java.lang.String,java.lang.String,[B[])>;com.lowagie.text.pdf.PdfFileSpecification;true;false;13510;396609;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/RandomAccessFileOrArray, <init>(Ljava/lang/String,)V >:NEW <Application,Ljava/io/ByteArrayOutputStream>@73 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3f1158ee;<com.lowagie.text.pdf.RandomAccessFileOrArray: void <init>(java.lang.String)>;com.lowagie.text.pdf.RandomAccessFileOrArray;false;false;5391;973;0;0;47;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e4afd10;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;20560;623711;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40538370;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;3704;26514;0;0;267;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2c815fdc;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;true;false;18529;465830;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileOutputStream>@90 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@a03529c;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;26602;820923;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Application,Ldacapo/TeeOutputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1760e594;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9da184c0;false;false;3204;0;0;0;0;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/FileOutputStream>@485 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@74bbc273;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;true;0;0;0;0;0;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/BufferedOutputStream>@481 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@28ce75ec;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;24593;765700;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@778113f2;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;16191;464464;0;0;3738;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfFileSpecification, fileEmbedded(Lcom/lowagie/text/pdf/PdfWriter,Ljava/lang/String,Ljava/lang/String,[B)Lcom/lowagie/text/pdf/PdfFileSpecification, >:NEW <Application,Ljava/io/ByteArrayOutputStream>@36 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@9dc782d;<com.lowagie.text.pdf.PdfFileSpecification: com.lowagie.text.pdf.PdfFileSpecification fileEmbedded(com.lowagie.text.pdf.PdfWriter,java.lang.String,java.lang.String,[B[])>;com.lowagie.text.pdf.PdfFileSpecification;false;false;3111;3035;0;0;116;4500;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/Type1Font, <init>(Ljava/lang/String,Ljava/lang/String,Z[B[B)V >:NEW <Application,Ljava/io/ByteArrayOutputStream>@316 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1ba35152;<com.lowagie.text.pdf.Type1Font: void <init>(java.lang.String,java.lang.String,boolean,[B[],[B[])>;com.lowagie.text.pdf.Type1Font;false;false;3265;973;0;0;47;4500;0;
