Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@218 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bdcfcf;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;13438;332084;0;0;3787;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70884875;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3860;0;0;0;0;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d6b42cf;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;4266;35714;0;0;643;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/jfree/base/config/SystemPropertyConfiguration, getConfigProperties()Ljava/util/Enumeration, >:NEW <Application,Ljava/util/Vector>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2404abe2;<org.jfree.base.config.SystemPropertyConfiguration: java.util.Enumeration getConfigProperties()>;org.jfree.base.config.SystemPropertyConfiguration;false;false;3672;0;0;0;0;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@fee881;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;4562;36747;0;0;605;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1ff463bb;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;4625;49943;0;0;804;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/chart/ChartHarness, iterate(Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@9 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b9c9b8b;<dacapo.chart.ChartHarness: void iterate(java.lang.String)>;dacapo.chart.ChartHarness;false;false;9328;286227;0;0;3472;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, setAttributes(Ljava/util/Map,I)V >:NEW <Primordial,Ljava/util/Vector>@34 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a3316b6;<java.text.AttributedString: void setAttributes(java.util.Map,int)>;<Primordial,Ljava.text.AttributedString;false;false;21132;690196;0;0;3787;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/text/AttributedString, ensureRunBreak(IZ)I >:NEW <Primordial,Ljava/util/Vector>@234 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56c6d515;<java.text.AttributedString: int ensureRunBreak(int,boolean)>;<Primordial,Ljava.text.AttributedString;false;false;10803;332060;0;0;3787;4500;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@702b656a;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;3578;0;0;0;0;4500;0;
