Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/RandomAccessFileOrArray, <init>(Ljava/lang/String,)V >:NEW <Application,Ljava/io/ByteArrayOutputStream>@73 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bdcfcf;<com.lowagie.text.pdf.RandomAccessFileOrArray: void <init>(java.lang.String)>;com.lowagie.text.pdf.RandomAccessFileOrArray;false;false;7567;835;0;0;47;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@e97f115;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;true;false;18856;636744;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileOutputStream>@90 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d6b42cf;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;17352;636972;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Application,Ldacapo/TeeOutputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6f8ac8d5;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@9da184c0;false;false;3395;0;0;0;0;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bdcfcf;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;7125;4510;0;0;147;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/FileOutputStream>@485 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@370225c7;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;16273;637956;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70884875;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;18352;641028;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/chart/Graph, plotGraph(Ljava/net/URL,Ljava/lang/String,Ljava/lang/String,IIIIIZ)V >:NEW <Application,Ljava/io/BufferedOutputStream>@481 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6ac756b;<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;15985;625626;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@156324b;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;10781;304835;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7019d619;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;19798;640118;0;0;3787;4500;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lcom/lowagie/text/pdf/PdfFileSpecification, fileEmbedded(Lcom/lowagie/text/pdf/PdfWriter,Ljava/lang/String,Ljava/lang/String,[B)Lcom/lowagie/text/pdf/PdfFileSpecification, >:NEW <Application,Ljava/io/ByteArrayOutputStream>@36 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b3feb26;<com.lowagie.text.pdf.PdfFileSpecification: com.lowagie.text.pdf.PdfFileSpecification fileEmbedded(com.lowagie.text.pdf.PdfWriter,java.lang.String,java.lang.String,[B[])>;com.lowagie.text.pdf.PdfFileSpecification;false;false;4778;22680;0;0;796;4500;0;
