Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@75cacb3e;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;5583;0;0;0;0;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableCollection, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableCollection$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70884875;<java.util.Collections$UnmodifiableCollection: java.util.Iterator iterator()>;<Primordial,Ljava.util.Collections$UnmodifiableCollection;false;false;4688;619;0;0;25;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Collections$UnmodifiableList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Collections$UnmodifiableList$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7019d619;<java.util.Collections$UnmodifiableList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.Collections$UnmodifiableList;false;false;3788;1761;0;0;54;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6f8ac8d5;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;true;false;21028;560463;0;0;1717;4500;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@3cf4dec7;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;4406;0;0;0;0;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b94c789;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;true;false;7187;154877;0;0;1084;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@299fc582;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;true;0;0;0;0;0;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@305aaedf;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;true;false;7963;101532;0;0;504;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a425cf5;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;4447;0;0;0;0;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@17d76ebb;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;true;false;6877;101641;0;0;504;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/TreeMap, keyIterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/TreeMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@40b31a16;<java.util.TreeMap: java.util.Iterator keyIterator()>;<Primordial,Ljava.util.TreeMap;false;false;4812;55787;0;0;928;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25fa6889;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;false;false;4760;24760;0;0;419;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedEntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de73d37;<java.util.LinkedHashMap$LinkedEntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedEntrySet;false;false;4345;0;0;0;0;4500;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@31693a86;<java.util.HashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$EntrySet;false;false;7846;125257;0;0;616;4500;0;
