Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;true;94521;700;94521;0;26;2507;r0[lock, fd, parent, fd];0;
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;275;989;78;197;14;2507;r0[lock, fd, parent, fd];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;1948;3271;1948;0;46;2507;r0[lock, fd, parent, fd];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;77;194;16;61;9;2507;r0[lock, fd, parent, fd];0;
ideal-ap;IO;$r12 @ specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;302;926;103;199;24;2507;$r12[out];0;
ideal-ap;IO;$r12 @ specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;true;123383;557;123383;0;22;2507;r0[log, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;true;3728;1959;3728;0;38;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3);specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;118;1790;25;93;25;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r22 @ specialinvoke $r22.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>($r23);specialinvoke $r22.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>($r23);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;61;109;1;60;1;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r9 @ specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;188;881;12;176;24;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r13 @ specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048);specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;79;177;16;63;7;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r23 @ specialinvoke $r23.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);specialinvoke $r23.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;69;197;14;55;4;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r61 @ specialinvoke $r61.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);specialinvoke $r61.<java.io.FileOutputStream: void <init>(java.lang.String)>(r47);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;64;221;12;52;4;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
ideal-ap;IO;$r60 @ specialinvoke $r60.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>($r61);specialinvoke $r60.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream)>($r61);<dacapo.chart.Graph: void plotGraph(java.net.URL,java.lang.String,java.lang.String,int,int,int,int,int,boolean)>;dacapo.chart.Graph;false;false;61;125;1;60;1;2507;r0[inStream, in, fd, parent, fd, otherParents];0;
