Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/io/FileDescriptor,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@42c12b3e;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;4825;13193;0;0;486;2618;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/io/File,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@4ffced4e;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;14360;396603;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6094de13;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;1947;8343;0;0;252;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFile(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bbb6f0;<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2272;8654;0;0;261;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/util/SecureAction, getFileInputStream(Ljava/io/File,)Ljava/io/FileInputStream, >:NEW <Application,Ljava/io/FileInputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3e6ec74;<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;9778;349881;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/osgi/framework/internal/core/Framework, loadVMProfile()V >:NEW <Application,Ljava/io/BufferedInputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2bd8f7db;<org.eclipse.osgi.framework.internal.core.Framework: void loadVMProfile()>;org.eclipse.osgi.framework.internal.core.Framework;false;false;2703;16362;0;0;606;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFile(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6d7ad0f5;<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;8785;342719;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/lang/reflect/Constructor, newInstance([Ljava/lang/Object,)Ljava/lang/Object, >:NEW <Primordial,Ljava/io/FileInputStream>@0 in ReceiverInstanceContext<[ConstantKey:< Primordial, Ljava/io/FileInputStream, <init>(Ljava/lang/String,)V >:class com.ibm.wala.classLoader.ShrikeCTMethod]>};com.ibm.wala.util.collections.NonNullSingletonIterator@6e3dd5ce;<java.lang.reflect.Constructor: java.lang.Object newInstance([Ljava.lang.Object[])>;<Primordial,Ljava.lang.reflect.Constructor;false;false;11219;396603;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ef86c72;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2906;4426;0;0;142;2618;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@123307c4;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;8814;348608;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/eclipse/core/runtime/adaptor/LocationManager, computeDefaultUserAreaLocation(Ljava/lang/String,)Ljava/lang/String, >:NEW <Application,Ljava/io/FileInputStream>@66 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1693ff90;<org.eclipse.core.runtime.adaptor.LocationManager: java.lang.String computeDefaultUserAreaLocation(java.lang.String)>;org.eclipse.core.runtime.adaptor.LocationManager;false;false;10282;345014;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@47058864;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@c02dde4c;false;false;2266;0;0;0;0;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ad3f70a;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;9266;348805;0;0;2270;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54ccb3;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;2419;8545;0;0;257;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@9b2dc56;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;2422;8372;0;0;254;2618;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@37 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@42c12b3e;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;6922;169574;0;0;2270;2618;0;
