Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3fb450d7;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;true;false;13811;308708;0;0;1287;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/Vector$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3caee3a8;<java.util.Vector: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.Vector;false;false;3963;77855;0;0;483;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Vector, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Vector$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@69a40b3c;<java.util.Vector: java.util.Iterator iterator()>;<Primordial,Ljava.util.Vector;false;false;4172;78048;0;0;483;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@251c90f;<java.util.HashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$EntrySet;false;false;3329;77843;0;0;483;2618;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@2dfa02c1;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;1860;0;0;0;0;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getEnumeration(I)Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6314df3c;<java.util.Hashtable: java.util.Enumeration getEnumeration(int)>;<Primordial,Ljava.util.Hashtable;false;false;5157;121942;0;0;1294;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$Values, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$ValueIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5785e813;<java.util.HashMap$Values: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$Values;false;false;4219;81367;0;0;483;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@10b8b900;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;2140;2103;0;0;26;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$KeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6d294ddc;<java.util.HashMap$KeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$KeySet;true;false;10251;308292;0;0;1287;2618;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedKeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedKeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2801827a;<java.util.LinkedHashMap$LinkedKeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedKeySet;false;false;2657;36262;0;0;836;2618;0;
