Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;EmptyVector;ForwardQuery: (<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)> $r4 = new Vector,$r4 (ConfigFile.sizeClause) Value: new java.util.Vector);$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1560;492;14;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)> $r7 = new Vector,$r7 (EclipseStarter.getArrayFromList) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;154;301;14;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)> $r7 = new Vector,$r7 (PermissionAdminImpl.getPermissionInfos) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;194;311;13;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)> $r6 = new BundleNativeCode$Attribute,$r6 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);$r6 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;656;872;23;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)> $r7 = new Vector,$r7 (UnresolvedPermissionCollection.add) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;false;230;330;12;3077;false;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()> $r5 = new Vector,$r5 (FilterImpl$Parser.parse_substring) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;true;false;165;429;13;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)> $r9 = new Vector,$r9 (ConditionalPermissions.<init>) Value: new java.util.Vector);$r9 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;4374;4923;208;3077;true;true;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)> $r15 = new Vector,$r15 (PermissionAdminImpl.createProtectionDomain) Value: new java.util.Vector);$r15 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;64;342;12;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)> $r20 = new Vector,$r20 (ConditionalPermissions.implies) Value: new java.util.Vector);$r20 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;94;490;12;3077;false;false;0;0;
ideal;EmptyVector;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)> $r5 = new Vector,$r5 (FilterImpl$Parser.parse_and) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;54;227;11;3077;false;false;0;0;
