Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()> $r1.<init>($r2),$r1 (SecureAction$4.run) Value: specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2));specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;1234;102;7;3077;false;false;0;0;
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()> $r1.<init>($r2),$r1 (SecureAction$4.run) Value: specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2));specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;1235;102;7;3077;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)> $r4.<init>(r0),$r4 (Benchmark.unpackZipFile) Value: specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0));specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;7179;4129;51;3077;true;true;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)> $r4.<init>(r0),$r4 (Benchmark.unpackZipFile) Value: specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0));specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;7183;4129;51;3077;true;true;0;0;
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)> $r13.<init>($r14),$r13 (PermissionAdminImpl.createProtectionDomain) Value: specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14));specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;16;256;3;3077;false;false;0;0;
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)> $r13.<init>($r14),$r13 (PermissionAdminImpl.createProtectionDomain) Value: specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14));specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;16;256;3;3077;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)> $r3.<init>($r4),$r3 (Benchmark.unpackZipFile) Value: specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4));specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;6571;3957;49;3077;true;true;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)> $r3.<init>($r4),$r3 (Benchmark.unpackZipFile) Value: specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4));specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;6574;3957;49;3077;true;true;0;0;
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)> $r8.<init>(r1),$r8 (SecureAction.getFileInputStream) Value: specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1));specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;31;96;6;3077;false;false;0;0;
ideal;IO;ForwardQuery: (<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)> $r8.<init>(r1),$r8 (SecureAction.getFileInputStream) Value: specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1));specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;32;96;6;3077;false;false;0;0;
