Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;316;146;76;240;10;3077;null;0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;314;560;86;228;13;3077;null;0;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;true;11165;167;11165;0;11;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];0;
ideal-ap;EmptyVector;$r21 @ $r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;1774;447;1774;0;20;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];0;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PolicyHandler: java.lang.Object[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PolicyHandler;false;false;83;215;18;65;13;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];0;
ideal-ap;EmptyVector;$r11 @ $r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;26576;468;26576;0;22;3077;r0[domain, permissions, implied, allPermission, perms, table, array, next, value, permissions];0;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;30691;419785;30691;0;653;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];0;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;295;1310;29;266;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];0;
ideal-ap;EmptyVector;$r24 @ $r24 = new java.util.Vector;$r24 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;86;253;22;64;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];0;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;76;146;14;62;10;3077;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];0;
