Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/JceSecurityManager, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@35260785;<javax.crypto.JceSecurityManager: void <clinit>()>;<Primordial,Ljavax.crypto.JceSecurityManager;false;false;2922;0;0;0;0;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a9c92b5;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1406;0;0;0;0;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@51cd2d2;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;2469;7715;0;0;96;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5521407f;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1922;19201;0;0;199;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/fop/render/awt/AWTRenderer, <init>(Lorg/apache/fop/viewer/Translator,)V >:NEW <Application,Ljava/util/Vector>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7c56c911;<org.apache.fop.render.awt.AWTRenderer: void <init>(org.apache.fop.viewer.Translator)>;org.apache.fop.render.awt.AWTRenderer;false;false;6140;133622;0;0;2016;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@395197cb;<javax.crypto.CryptoPolicyParser: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;8855;312498;0;0;2016;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7305cfb1;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;5703;161747;0;0;2016;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, getPermissions()[Ljavax/crypto/CryptoPermission, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@582c1f8d;<javax.crypto.CryptoPolicyParser: [Ljavax.crypto.CryptoPermission[] getPermissions()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;1453;1460;0;0;59;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/fop/apps/Service, providers(Ljava/lang/Class,)Ljava/util/Enumeration, >:NEW <Application,Ljava/util/Vector>@48 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6723e6b3;<org.apache.fop.apps.Service: java.util.Enumeration providers(java.lang.Class)>;org.apache.fop.apps.Service;true;false;7844;252824;0;0;2016;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, isConsistent(Ljava/lang/String,Ljava/lang/String,Ljava/util/Hashtable,)Z >:NEW <Primordial,Ljava/util/Vector>@24 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3883b5e9;<javax.crypto.CryptoPolicyParser: boolean isConsistent(java.lang.String,java.lang.String,java.util.Hashtable)>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;4203;133661;0;0;2016;2501;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser$GrantEntry, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6a07e6ca;<javax.crypto.CryptoPolicyParser$GrantEntry: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser$GrantEntry;false;false;5141;167759;0;0;2016;2501;0;
