Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/JceSecurityManager, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54caeadc;<javax.crypto.JceSecurityManager: void <clinit>()>;<Primordial,Ljavax.crypto.JceSecurityManager;false;false;2657;0;0;0;0;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@63a7af06;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1750;0;0;0;0;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b7a4930;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;1625;11029;0;0;246;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@591a4d25;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;2360;20468;0;0;325;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/fop/render/awt/AWTRenderer, <init>(Lorg/apache/fop/viewer/Translator,)V >:NEW <Application,Ljava/util/Vector>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4bfe83d;<org.apache.fop.render.awt.AWTRenderer: void <init>(org.apache.fop.viewer.Translator)>;org.apache.fop.render.awt.AWTRenderer;false;false;3047;56056;0;0;1496;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, <init>()V >:NEW <Primordial,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5906ebfb;<javax.crypto.CryptoPolicyParser: void <init>()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;2500;23924;0;0;371;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@10fc1a22;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;2297;30758;0;0;449;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, getPermissions()[Ljavax/crypto/CryptoPermission, >:NEW <Primordial,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b841e7d;<javax.crypto.CryptoPolicyParser: [Ljavax.crypto.CryptoPermission[] getPermissions()>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;1563;1391;0;0;59;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/fop/apps/Service, providers(Ljava/lang/Class,)Ljava/util/Enumeration, >:NEW <Application,Ljava/util/Vector>@48 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6081f330;<org.apache.fop.apps.Service: java.util.Enumeration providers(java.lang.Class)>;org.apache.fop.apps.Service;true;false;6716;205212;0;0;2033;2501;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljavax/crypto/CryptoPolicyParser, isConsistent(Ljava/lang/String,Ljava/lang/String,Ljava/util/Hashtable,)Z >:NEW <Primordial,Ljava/util/Vector>@24 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@73852720;<javax.crypto.CryptoPolicyParser: boolean isConsistent(java.lang.String,java.lang.String,java.util.Hashtable)>;<Primordial,Ljavax.crypto.CryptoPolicyParser;false;false;10048;289636;0;0;2033;2501;0;
