Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)> $r12 = new TeePrintStream,$r12 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r12 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;1394;159;11;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)> $r9 = new TeePrintStream,$r9 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r9 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;289;159;11;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)> $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;3420;111;4;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)> r0.<init>(r1),r0 (TeeOutputStream.<init>) Value: specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1));specialinvoke r0.<java.io.FilterOutputStream: void <init>(java.io.OutputStream)>(r1);<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeeOutputStream;false;false;1304;222;13;2944;false;true;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)> $r9.<init>($r11,$r10),$r9 (Benchmark.<init>) Value: specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10));specialinvoke $r9.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r11, $r10);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;143917;67139;1893;2944;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)> r0.<init>($r3),r0 (TeePrintStream.<init>) Value: specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3));specialinvoke r0.<java.io.PrintStream: void <init>(java.io.OutputStream)>($r3);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;206194;134316;1893;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)> $r12.<init>($r14,$r13),$r12 (Benchmark.<init>) Value: specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13));specialinvoke $r12.<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>($r14, $r13);<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;86503;67205;1893;2944;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)> $r3.<init>(r1,r2),$r3 (TeePrintStream.<init>) Value: specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2));specialinvoke $r3.<dacapo.TeeOutputStream: void <init>(java.io.OutputStream,java.io.File)>(r1, r2);<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;false;false;50;190;11;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<org.apache.fop.apps.CommandLineStarter: void run()> $r10.<init>($r12),$r10 (CommandLineStarter.run) Value: specialinvoke $r10.<java.io.FileOutputStream: void <init>(java.io.File)>($r12));specialinvoke $r10.<java.io.FileOutputStream: void <init>(java.io.File)>($r12);<org.apache.fop.apps.CommandLineStarter: void run()>;org.apache.fop.apps.CommandLineStarter;false;false;1584;1258;28;2944;false;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)> $r13.<init>(r5,varReplacer2001),$r13 (Benchmark.unpackZipStream) Value: specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, varReplacer2001));specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, varReplacer2001);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;53;307;7;2944;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)> $r12.<init>(r4),$r12 (Benchmark.unpackZipStream) Value: specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4));specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;984;895;22;2944;true;false;0;0;
ideal;IO;ForwardQuery: (<dacapo.TeeOutputStream: void newLog()> $r2.<init>($r3),$r2 (TeeOutputStream.newLog) Value: specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3));specialinvoke $r2.<java.io.FileOutputStream: void <init>(java.io.File)>($r3);<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;false;false;352800;256;2386;2944;false;true;0;0;
