Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.core.PyCompoundCallable: void <init>()>;org.python.core.PyCompoundCallable;false;true;612765;9580690;612765;0;1758;4268;r0[reprStack, list, array, baseArray, array, im_func, instclass, __self__, callables];0;
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Vector;$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;63795;210;63795;0;13;4268;r0[reprStack, list, array, baseArray, array, im_func, instclass, __self__, callables];0;
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;609853;11137015;609853;0;831;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Vector;$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;66963;204;66963;0;13;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;$r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;635872;11133987;635872;0;831;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;638035;12572129;638035;0;790;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r13 @ $r13 = new java.util.Stack;$r13 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;611588;12561566;611588;0;789;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;false;false;1224;560;1073;151;13;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;347;1919;224;123;13;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Stack;$r3 = new java.util.Stack;<org.python.compiler.ScopesCompiler: void <init>(org.python.compiler.CompilationContext,java.util.Hashtable)>;org.python.compiler.ScopesCompiler;false;true;603895;12546808;603895;0;789;4268;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, code_compiler, classfile, attributes];0;
