Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r1);specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenIndex()>;org.python.core.CachedJarsPackageManager;false;true;19002;3800;19002;0;54;4268;r0[tdata, out];0;
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0);specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0);<org.python.core.parser: org.python.parser.ast.modType partialParse(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags,boolean)>;org.python.core.parser;false;true;602275;90817;602275;0;375;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;630793;4268;630793;0;59;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenCacheFile(java.lang.String)>;org.python.core.CachedJarsPackageManager;false;true;1967;1348;1967;0;45;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<org.python.core.imp: java.io.InputStream makeStream(java.io.File)>;org.python.core.imp;false;true;602634;91170;602634;0;391;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3);specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3);<org.python.core.SyspathArchive: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;org.python.core.SyspathArchive;false;false;170;217;21;149;12;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>($r5);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>($r5);<org.python.core.SyspathJavaLoader: java.io.FileInputStream open(java.lang.String,java.lang.String)>;org.python.core.SyspathJavaLoader;false;false;141;216;20;121;12;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r30);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r30);<org.python.core.CachedJarsPackageManager: void addJarToPackages(java.net.URL,java.io.File,boolean)>;org.python.core.CachedJarsPackageManager;false;true;137358;4923;137358;0;70;4268;r0[token_source, input_stream, inputStream, in, in, lock];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.python.core.FixedFileWrapper: void <init>(org.python.core.PyObject)>(r0);specialinvoke $r3.<org.python.core.FixedFileWrapper: void <init>(org.python.core.PyObject)>(r0);<org.python.core.Py: void println(org.python.core.PyObject,org.python.core.PyObject)>;org.python.core.Py;false;false;358;135;16;342;8;4268;null;0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.ByteArrayOutputStream: void <init>(int)>(8192);specialinvoke $r3.<java.io.ByteArrayOutputStream: void <init>(int)>(8192);<org.python.core.FileUtil: byte[] readBytes(java.io.InputStream)>;org.python.core.FileUtil;false;false;284;84;55;229;5;4268;null;0;
