Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, readDeleteableFiles()Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6a55594b;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;2375;2342;0;0;51;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@66d25ba9;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1219;0;0;0;0;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3830f918;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;1391;7715;0;0;96;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/SegmentMerger, createCompoundFile(Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2dba05b1;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;6782;279101;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/TermVectorsWriter, <init>(Lorg/apache/lucene/store/Directory,Ljava/lang/String,Lorg/apache/lucene/index/FieldInfos,)V >:NEW <Application,Ljava/util/Vector>@167 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@9fe720a;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;4656;235850;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@149274cb;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1047;19245;0;0;202;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@62c3f556;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;3390;153779;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/document/Document, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4052b19f;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;3985;178319;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, mergeSegments(II)V >:NEW <Application,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3dc68586;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;6015;312055;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, deleteFiles(Ljava/util/Vector,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@60dc1a4e;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;844;3035;0;0;53;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/analysis/standard/StandardTokenizer, <init>(Lorg/apache/lucene/analysis/standard/CharStream,)V >:NEW <Application,Ljava/util/Vector>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@12fcb2c3;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;2609;106665;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/SegmentMerger, <init>(Lorg/apache/lucene/index/IndexWriter,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7f3c0399;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;7297;358339;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@20 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@183fc2fa;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;906;0;0;0;0;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/TermVectorsWriter, <init>(Lorg/apache/lucene/store/Directory,Ljava/lang/String,Lorg/apache/lucene/index/FieldInfos,)V >:NEW <Application,Ljava/util/Vector>@152 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@447fa959;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;4219;230762;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, <init>(Lorg/apache/lucene/store/Directory,Lorg/apache/lucene/analysis/Analyzer,ZZ)V >:NEW <Application,Lorg/apache/lucene/index/SegmentInfos>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1e6060f1;<org.apache.lucene.index.IndexWriter: void <init>(org.apache.lucene.store.Directory,org.apache.lucene.analysis.Analyzer,boolean,boolean)>;org.apache.lucene.index.IndexWriter;true;false;8469;465975;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/store/RAMFile, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7e49ded;<org.apache.lucene.store.RAMFile: void <init>()>;org.apache.lucene.store.RAMFile;true;false;3000;151718;0;0;1509;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Stack>@30 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2c6c302f;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;812;0;0;0;0;1920;0;
fink-apmust;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, deleteSegments(Ljava/util/Vector,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2478b629;<org.apache.lucene.index.IndexWriter: void deleteSegments(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;1172;3098;0;0;54;1920;0;
