Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, readDeleteableFiles()Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@51cab489;<org.apache.lucene.index.IndexWriter: java.util.Vector readDeleteableFiles()>;org.apache.lucene.index.IndexWriter;true;false;2718;1749;0;0;53;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@18d47df0;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;1403;0;0;0;0;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@28393e82;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;1953;10379;0;0;214;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/SegmentMerger, createCompoundFile(Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@697a0948;<org.apache.lucene.index.SegmentMerger: java.util.Vector createCompoundFile(java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;1672;11485;0;0;186;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/TermVectorsWriter, <init>(Lorg/apache/lucene/store/Directory,Ljava/lang/String,Lorg/apache/lucene/index/FieldInfos,)V >:NEW <Application,Ljava/util/Vector>@167 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7cf63b9a;<org.apache.lucene.index.TermVectorsWriter: void <init>(org.apache.lucene.store.Directory,java.lang.String,org.apache.lucene.index.FieldInfos)>;org.apache.lucene.index.TermVectorsWriter;true;false;2297;25091;0;0;244;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4776e209;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1896;21096;0;0;348;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@265a094b;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;1953;30840;0;0;426;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/document/Document, <init>()V >:NEW <Application,Ljava/util/Vector>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1f536481;<org.apache.lucene.document.Document: void <init>()>;org.apache.lucene.document.Document;false;false;4064;159902;0;0;995;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, mergeSegments(II)V >:NEW <Application,Ljava/util/Vector>@32 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5234b61a;<org.apache.lucene.index.IndexWriter: void mergeSegments(int,int)>;org.apache.lucene.index.IndexWriter;true;false;2125;31964;0;0;532;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/IndexWriter, deleteFiles(Ljava/util/Vector,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@22a260ff;<org.apache.lucene.index.IndexWriter: void deleteFiles(java.util.Vector)>;org.apache.lucene.index.IndexWriter;true;false;1093;993;0;0;53;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/analysis/standard/StandardTokenizer, <init>(Lorg/apache/lucene/analysis/standard/CharStream,)V >:NEW <Application,Ljava/util/Vector>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@54c425b1;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;true;false;2032;39828;0;0;294;1920;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lorg/apache/lucene/index/SegmentMerger, <init>(Lorg/apache/lucene/index/IndexWriter,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@12 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@50b734c4;<org.apache.lucene.index.SegmentMerger: void <init>(org.apache.lucene.index.IndexWriter,java.lang.String)>;org.apache.lucene.index.SegmentMerger;true;false;1813;31982;0;0;535;1920;0;
