Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@37 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4bf03fee;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;5505;125164;0;0;1550;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, <init>(Ldacapo/parser/Config,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeePrintStream>@84 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@15e1f8fe;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;4579;125089;0;0;1550;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, enableValidationReport(Ljava/lang/String,)V >:NEW <Application,Ljava/io/PrintWriter>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@44f0ff2b;<dacapo.Benchmark: void enableValidationReport(java.lang.String)>;dacapo.Benchmark;false;false;5328;124952;0;0;1563;1920;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileWriter, <init>(Ljava/lang/String,Z)V >:NEW <Primordial,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@44f0ff2b;<java.io.FileWriter: void <init>(java.lang.String,boolean)>;<Primordial,Ljava.io.FileWriter;false;false;8245;251098;0;0;1563;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeePrintStream, <init>(Ljava/io/OutputStream,Ljava/io/File,)V >:NEW <Application,Ldacapo/TeeOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@18d47df0;<dacapo.TeePrintStream: void <init>(java.io.OutputStream,java.io.File)>;dacapo.TeePrintStream;true;false;7314;251966;0;0;1550;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/TeeOutputStream, newLog()V >:NEW <Application,Ljava/io/FileOutputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@28393e82;<dacapo.TeeOutputStream: void newLog()>;dacapo.TeeOutputStream;true;false;6235;254124;0;0;1550;1920;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileOutputStream>@6 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@31da0434;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@914cc389;false;false;1813;0;0;0;0;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/FileOutputStream>@90 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@361cd35c;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;5923;254148;0;0;1550;1920;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedOutputStream>@101 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@58a765ce;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1442;10553;0;0;243;1920;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Application,Ldacapo/TeeOutputStream>@18 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4a642e4b;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@914cc389;false;false;2031;0;0;0;0;1920;0;
