Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;709;1611;544;165;32;2514;r0[jj_expentries];0;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery: void <init>(boolean)>;org.apache.lucene.search.BooleanQuery;false;true;107857;1149634;107857;0;255;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.search.Hits: void <init>(org.apache.lucene.search.Searcher,org.apache.lucene.search.Query,org.apache.lucene.search.Filter)>;org.apache.lucene.search.Hits;true;false;156;1758;65;91;22;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;92;254;13;79;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;260849;1148808;260849;0;254;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.apache.lucene.search.BooleanQuery$BooleanWeight: void <init>(org.apache.lucene.search.BooleanQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.BooleanQuery$BooleanWeight;false;true;95570;127081;95570;0;161;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query Query(java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;144;736;40;104;16;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: org.apache.lucene.search.Query getFieldQuery(java.lang.String,java.lang.String)>;org.apache.lucene.queryParser.QueryParser;true;false;111;529;35;76;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.apache.lucene.queryParser.QueryParser: void <init>(org.apache.lucene.queryParser.CharStream)>;org.apache.lucene.queryParser.QueryParser;true;false;270149;1777;270087;62;50;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.apache.lucene.search.PhraseQuery: void <init>()>;org.apache.lucene.search.PhraseQuery;false;true;36727;1149206;36727;0;260;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new org.apache.lucene.index.SegmentInfos;$r3 = new org.apache.lucene.index.SegmentInfos;<org.apache.lucene.index.IndexReader$1: java.lang.Object doBody()>;org.apache.lucene.index.IndexReader$1;false;true;1629;7808;1629;0;158;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.apache.lucene.analysis.standard.StandardTokenizer: void <init>(org.apache.lucene.analysis.standard.CharStream)>;org.apache.lucene.analysis.standard.StandardTokenizer;false;true;31576;1344;31576;0;31;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;65;560;21;44;13;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.apache.lucene.search.MultiPhraseQuery: void <init>()>;org.apache.lucene.search.MultiPhraseQuery;false;true;27591;1148850;27591;0;254;2514;r0[last, item, this$0, countingSumScorer, optScorer, this$0, scorers, next, collector, bucketTable, scorer, similarity, this$0, clauses];0;
