Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/PMD, processFiles(Ljava/util/List,Lnet/sourceforge/pmd/RuleContext,Lnet/sourceforge/pmd/RuleSets,ZZLjava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/BufferedInputStream>@82 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a65e237;<net.sourceforge.pmd.PMD: void processFiles(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.RuleSets,boolean,boolean,java.lang.String,java.lang.String)>;net.sourceforge.pmd.PMD;false;false;11609;241153;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@23bd2f6e;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@79248127;false;false;2579;0;0;0;0;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/util/ResourceLoader, loadResourceAsStream(Ljava/lang/String,Ljava/lang/ClassLoader,)Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@12608986;<net.sourceforge.pmd.util.ResourceLoader: java.io.InputStream loadResourceAsStream(java.lang.String,java.lang.ClassLoader)>;net.sourceforge.pmd.util.ResourceLoader;false;false;11345;312428;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@d0fabc8;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;14657;512326;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@59b98ad1;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;true;false;5063;131216;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56b66a26;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;14568;445483;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@35af52dc;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;12838;444273;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@227 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@31b650e9;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;16154;528635;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@103 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3a1a0bc;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;15028;540823;0;0;3086;3506;0;
fink-apmust;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@51 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@35d114f4;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@79248127;false;false;2031;0;0;0;0;3506;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/FileDataSource, getInputStream()Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b64bbad;<net.sourceforge.pmd.FileDataSource: java.io.InputStream getInputStream()>;net.sourceforge.pmd.FileDataSource;false;false;14872;505007;0;0;3086;3506;0;
