Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1b4ba615;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;4360;5839;0;0;209;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@38826984;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;false;false;2875;486;0;0;25;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/report/ReportTree, iterator()Ljava/util/Iterator, >:NEW <Application,Lnet/sourceforge/pmd/dfa/report/ReportTree$TreeIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@65262308;<net.sourceforge.pmd.dfa.report.ReportTree: java.util.Iterator iterator()>;net.sourceforge.pmd.dfa.report.ReportTree;false;false;2328;9076;0;0;275;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2430cf17;<java.util.HashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$EntrySet;false;false;14469;334919;0;0;3086;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bf4e48e;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;8859;244135;0;0;3086;3506;0;
fink-apmust;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@71734463;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;2515;0;0;0;0;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@63c4d16;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;24930;731372;0;0;3086;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@45f0038;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;2500;8767;0;0;333;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$KeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2d3eecda;<java.util.HashMap$KeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$KeySet;true;false;13053;406322;0;0;3086;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedKeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedKeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@236a4d30;<java.util.LinkedHashMap$LinkedKeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedKeySet;false;false;3272;26797;0;0;682;3506;0;
fink-apmust;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/TreeMap, keyIterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/TreeMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@736788b;<java.util.TreeMap: java.util.Iterator keyIterator()>;<Primordial,Ljava.util.TreeMap;false;false;2938;26330;0;0;386;3506;0;
