Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/jsp/ast/JJTJspParserState, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1cb849b2;<net.sourceforge.pmd.jsp.ast.JJTJspParserState: void <init>()>;net.sourceforge.pmd.jsp.ast.JJTJspParserState;false;false;15579;483953;0;0;3141;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Primordial, Ljava/lang/ClassLoader, <clinit>()V >:NEW <Primordial,Ljava/util/Vector>@10 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4ca5cb99;<java.lang.ClassLoader: void <clinit>()>;<Primordial,Ljava.lang.ClassLoader;false;false;2454;0;0;0;0;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/symboltable/ScopeAndDeclarationFinder, <init>()V >:NEW <Application,Ljava/util/Stack>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7853363c;<net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder: void <init>()>;net.sourceforge.pmd.symboltable.ScopeAndDeclarationFinder;false;false;4198;40929;0;0;892;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/TestHarness, vectorise([Ljava/lang/String,)Ljava/util/Vector, >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25589735;<dacapo.TestHarness: java.util.Vector vectorise([Ljava.lang.String[])>;dacapo.TestHarness;true;false;3266;23865;0;0;391;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, sizeClause(Ldacapo/parser/Config,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@46994f26;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;2953;25420;0;0;398;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Ldacapo/parser/ConfigFile, <init>(Ljava/io/InputStream,Ljava/lang/String,)V >:NEW <Application,Ljava/util/Vector>@13 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1bb172dd;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;true;false;3829;37238;0;0;533;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/ast/JavaParser, <init>(Lnet/sourceforge/pmd/ast/CharStream,)V >:NEW <Application,Ljava/util/Vector>@61 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1cdd31a4;<net.sourceforge.pmd.ast.JavaParser: void <init>(net.sourceforge.pmd.ast.CharStream)>;net.sourceforge.pmd.ast.JavaParser;true;false;12158;510983;0;0;3141;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/Structure, <init>()V >:NEW <Application,Ljava/util/Stack>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7dddfc35;<net.sourceforge.pmd.dfa.Structure: void <init>()>;net.sourceforge.pmd.dfa.Structure;true;false;13256;492030;0;0;3141;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/jsp/ast/JspParser, <init>(Lnet/sourceforge/pmd/jsp/ast/CharStream,)V >:NEW <Application,Ljava/util/Vector>@59 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@71316cd7;<net.sourceforge.pmd.jsp.ast.JspParser: void <init>(net.sourceforge.pmd.jsp.ast.CharStream)>;net.sourceforge.pmd.jsp.ast.JspParser;true;false;13721;464972;0;0;3141;3506;0;
fink-unique;EmptyVector;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/variableaccess/VariableAccessVisitor, addVariableAccess(ILnet/sourceforge/pmd/dfa/variableaccess/VariableAccess,Ljava/util/List,)V >:NEW <Application,Ljava/util/Vector>@38 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6106dfb6;<net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor: void addVariableAccess(int,net.sourceforge.pmd.dfa.variableaccess.VariableAccess,java.util.List)>;net.sourceforge.pmd.dfa.variableaccess.VariableAccessVisitor;false;false;13518;466637;0;0;3141;3506;0;
