Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/PMD, processFiles(Ljava/util/List,Lnet/sourceforge/pmd/RuleContext,Lnet/sourceforge/pmd/RuleSets,ZZLjava/lang/String,Ljava/lang/String,)V >:NEW <Application,Ljava/io/BufferedInputStream>@82 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@43b172e3;<net.sourceforge.pmd.PMD: void processFiles(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.RuleSets,boolean,boolean,java.lang.String,java.lang.String)>;net.sourceforge.pmd.PMD;false;false;9551;137184;0;0;2072;3506;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/io/FileInputStream>@45 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@248b2b61;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@79248127;false;false;3735;0;0;0;0;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/util/ResourceLoader, loadResourceAsStream(Ljava/lang/String,Ljava/lang/ClassLoader,)Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@16 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7853363c;<net.sourceforge.pmd.util.ResourceLoader: java.io.InputStream loadResourceAsStream(java.lang.String,java.lang.ClassLoader)>;net.sourceforge.pmd.util.ResourceLoader;false;false;11490;453496;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipInputStream, <init>(Ljava/io/InputStream,Ljava/nio/charset/Charset,)V >:NEW <Primordial,Ljava/io/PushbackInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6282f1eb;<java.util.zip.ZipInputStream: void <init>(java.io.InputStream,java.nio.charset.Charset)>;<Primordial,Ljava.util.zip.ZipInputStream;false;false;11222;447267;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/BufferedInputStream>@4 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@120d6cbf;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;2844;7564;0;0;197;3506;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/FileReader, <init>(Ljava/io/File,)V >:NEW <Primordial,Ljava/io/FileInputStream>@1 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@70169464;<java.io.FileReader: void <init>(java.io.File)>;<Primordial,Ljava.io.FileReader;false;false;10545;459817;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/FileDigest, getBinary(Ljava/io/File,)[B >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1115be8c;<dacapo.FileDigest: [B[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;10313;455167;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@227 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@774013dc;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;11118;450695;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, getInputStream(Ljava/util/zip/ZipEntry,)Ljava/io/InputStream, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@103 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@76e9eed8;<java.util.zip.ZipFile: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;<Primordial,Ljava.util.zip.ZipFile;false;false;12328;452435;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInputStream>@51 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@30ef32eb;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@79248127;false;false;2797;0;0;0;0;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/FileDataSource, getInputStream()Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@474619d9;<net.sourceforge.pmd.FileDataSource: java.io.InputStream getInputStream()>;net.sourceforge.pmd.FileDataSource;false;false;12385;451259;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/pmd/PmdHarness, collectFilesFromFile(Ljava/lang/String,)Ljava/lang/String, >:NEW <Application,Ljava/io/FileInputStream>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@bb5f9d;<dacapo.pmd.PmdHarness: java.lang.String collectFilesFromFile(java.lang.String)>;dacapo.pmd.PmdHarness;false;false;10697;450185;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipFileResource(Ljava/lang/String,Ljava/io/File,)V >:NEW <Application,Ljava/io/BufferedInputStream>@41 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@391dfe7c;<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;10573;446641;0;0;3141;3506;0;
fink-unique;IO;SITE_IN_NODE{< Application, Ldacapo/Benchmark, unpackZipStream(Ljava/io/BufferedInputStream,Ljava/io/File,)V >:NEW <Application,Ljava/util/zip/ZipInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@702cfbde;<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;3169;11033;0;0;289;3506;0;
fink-unique;IO;SITE_IN_NODE{synthetic < Primordial, Lcom/ibm/wala/FakeRootClass, fakeRootMethod()V >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipFileInflaterInputStream>@54 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7d3bcd3;<com.ibm.wala.FakeRootClass: void fakeRootMethod()>;com.ibm.wala.ipa.callgraph.impl.FakeRootClass@79248127;false;false;2349;0;0;0;0;3506;0;
