Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/zip/ZipFile, entries()Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/zip/ZipFile$ZipEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1cb849b2;<java.util.zip.ZipFile: java.util.Enumeration entries()>;<Primordial,Ljava.util.zip.ZipFile;false;false;4716;5102;0;0;210;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@69f69078;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;true;false;3516;10539;0;0;125;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Application, Lnet/sourceforge/pmd/dfa/report/ReportTree, iterator()Ljava/util/Iterator, >:NEW <Application,Lnet/sourceforge/pmd/dfa/report/ReportTree$TreeIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@13b29b34;<net.sourceforge.pmd.dfa.report.ReportTree: java.util.Iterator iterator()>;net.sourceforge.pmd.dfa.report.ReportTree;false;false;3640;8428;0;0;275;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$EntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$EntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25589735;<java.util.HashMap$EntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$EntrySet;false;false;4294;64327;0;0;358;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@46994f26;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;4125;7022;0;0;89;3506;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@2b8cf049;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;2913;0;0;0;0;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2336cd91;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;true;false;15718;463305;0;0;2500;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4a944af9;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;true;false;5693;89568;0;0;890;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/HashMap$KeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/HashMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3593e074;<java.util.HashMap$KeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.HashMap$KeySet;true;false;6416;97585;0;0;564;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedKeySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedKeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@79d14037;<java.util.LinkedHashMap$LinkedKeySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedKeySet;false;false;3376;28299;0;0;735;3506;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/TreeMap, keyIterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/TreeMap$KeyIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@6c1e40d9;<java.util.TreeMap: java.util.Iterator keyIterator()>;<Primordial,Ljava.util.TreeMap;true;false;3813;53050;0;0;537;3506;0;
