Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/ScaledRAFileInJar, resetStream()V >:NEW <Application,Ljava/io/DataInputStream>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@48e74764;<org.hsqldb.persist.ScaledRAFileInJar: void resetStream()>;org.hsqldb.persist.ScaledRAFileInJar;false;true;0;0;0;0;0;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/TextCache, initBuffers()V >:NEW <Application,Lorg/hsqldb/rowio/RowInputText>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4aeaff64;<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;false;20998;445250;0;0;4996;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/scriptio/ScriptReaderZipped, openFile()V >:NEW <Application,Ljava/io/DataInputStream>@42 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@655909e2;<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;true;0;0;0;0;0;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Primordial, Ljava/io/ObjectInputStream$BlockDataInputStream, <init>(Ljava/io/ObjectInputStream,Ljava/io/InputStream,)V >:NEW <Primordial,Ljava/io/ObjectInputStream$PeekInputStream>@55 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@716ae973;<java.io.ObjectInputStream$BlockDataInputStream: void <init>(java.io.ObjectInputStream,java.io.InputStream)>;<Primordial,Ljava.io.ObjectInputStream$BlockDataInputStream;false;false;20010;474877;0;0;4996;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/ScaledRAFile, <init>(Ljava/lang/String,Z)V >:NEW <Application,Lorg/hsqldb/lib/HsqlByteArrayInputStream>@19 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b3c2ae0;<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;16338;384568;0;0;4996;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/lib/InOutUtil, deserialize([B)Ljava/io/Serializable, >:NEW <Application,Lorg/hsqldb/lib/HsqlByteArrayInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@5d3b6585;<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize([B[])>;org.hsqldb.lib.InOutUtil;false;false;24601;606286;0;0;4996;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/lib/FileUtil, openInputStreamElement(Ljava/lang/String,)Ljava/io/InputStream, >:NEW <Application,Ljava/io/FileInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@156ff70f;<org.hsqldb.lib.FileUtil: java.io.InputStream openInputStreamElement(java.lang.String)>;org.hsqldb.lib.FileUtil;false;true;0;0;0;0;0;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/scriptio/ScriptReaderText, openFile()V >:NEW <Application,Ljava/io/BufferedInputStream>@50 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b01897f;<org.hsqldb.scriptio.ScriptReaderText: void openFile()>;org.hsqldb.scriptio.ScriptReaderText;false;false;15467;373037;0;0;4996;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/Trace, getStackTrace()Ljava/lang/String, >:NEW <Application,Ljava/io/PrintWriter>@19 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@29892a77;<org.hsqldb.Trace: java.lang.String getStackTrace()>;org.hsqldb.Trace;false;false;5506;0;0;0;0;5644;0;
fink-apmust;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/scriptio/ScriptReaderBinary, <init>(Lorg/hsqldb/Database,Ljava/lang/String,)V >:NEW <Application,Lorg/hsqldb/rowio/RowInputBinary>@7 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2a99fa07;<org.hsqldb.scriptio.ScriptReaderBinary: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderBinary;false;true;0;0;0;0;0;5644;0;
