Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/ScaledRAFileInJar, resetStream()V >:NEW <Application,Ljava/io/DataInputStream>@27 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@e72fb04;<org.hsqldb.persist.ScaledRAFileInJar: void resetStream()>;org.hsqldb.persist.ScaledRAFileInJar;false;false;28217;965661;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/TextCache, initBuffers()V >:NEW <Application,Lorg/hsqldb/rowio/RowInputText>@76 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@56cd5d76;<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;false;15626;471400;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/scriptio/ScriptReaderZipped, openFile()V >:NEW <Application,Ljava/io/DataInputStream>@42 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@77cd235b;<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;22920;793938;0;0;4617;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/Trace, getStackTrace()Ljava/lang/String, >:NEW <Application,Ljava/io/PrintWriter>@19 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ff1f465;<org.hsqldb.Trace: java.lang.String getStackTrace()>;org.hsqldb.Trace;false;false;7849;48487;0;0;1364;5644;0;
fink-unique;IO;SITE_IN_NODE{< Primordial, Ljava/io/ObjectInputStream$BlockDataInputStream, <init>(Ljava/io/ObjectInputStream,Ljava/io/InputStream,)V >:NEW <Primordial,Ljava/io/ObjectInputStream$PeekInputStream>@55 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@32dbca45;<java.io.ObjectInputStream$BlockDataInputStream: void <init>(java.io.ObjectInputStream,java.io.InputStream)>;<Primordial,Ljava.io.ObjectInputStream$BlockDataInputStream;false;false;29337;980658;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/lib/SimpleLog, makeLog(Ljava/io/File,)V >:NEW <Application,Ljava/io/PrintWriter>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@25fa6889;<org.hsqldb.lib.SimpleLog: void makeLog(java.io.File)>;org.hsqldb.lib.SimpleLog;true;false;26053;862443;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/ScaledRAFile, <init>(Ljava/lang/String,Z)V >:NEW <Application,Lorg/hsqldb/lib/HsqlByteArrayInputStream>@19 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@16d61071;<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;14071;428767;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/lib/SimpleLog, <init>(Ljava/lang/String,IZ)V >:NEW <Application,Ljava/io/PrintWriter>@40 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de73d37;<org.hsqldb.lib.SimpleLog: void <init>(java.lang.String,int,boolean)>;org.hsqldb.lib.SimpleLog;true;false;22155;862397;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/lib/InOutUtil, deserialize([B)Ljava/io/Serializable, >:NEW <Application,Lorg/hsqldb/lib/HsqlByteArrayInputStream>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@18692e80;<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize([B[])>;org.hsqldb.lib.InOutUtil;false;false;26717;973390;0;0;5054;5644;0;
fink-unique;IO;SITE_IN_NODE{< Application, Lorg/hsqldb/persist/TextCache, initBuffers()V >:NEW <Application,Lorg/hsqldb/rowio/RowOutputTextQuoted>@42 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@ff1f465;<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;false;17551;471380;0;0;5054;5644;0;
