Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, reload()V >:NEW <Primordial,Ljava/util/ServiceLoader$LazyIterator>@8 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1d7f2f0a;<java.util.ServiceLoader: void reload()>;<Primordial,Ljava.util.ServiceLoader;false;false;7406;0;0;0;0;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/concurrent/CopyOnWriteArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/concurrent/CopyOnWriteArrayList$COWIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@7b4b8199;<java.util.concurrent.CopyOnWriteArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.concurrent.CopyOnWriteArrayList;false;false;8923;184966;0;0;4931;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator()Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@4bbf20d1;<java.util.ArrayList: java.util.ListIterator listIterator()>;<Primordial,Ljava.util.ArrayList;false;false;4851;911;0;0;52;5644;0;
fink-unique;IteratorHasNext;[<Primordial,Ljava/util/Collections$EmptyIterator>];com.ibm.wala.ipa.callgraph.propagation.ConcreteTypeKey$1@25fa6889;<java.util.Collections$EmptyIterator: void <clinit>()>;<Primordial,Ljava.util.Collections$EmptyIterator;false;false;4288;0;0;0;0;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ArrayList$Itr>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1de73d37;<java.util.ArrayList: java.util.Iterator iterator()>;<Primordial,Ljava.util.ArrayList;false;false;4594;35368;0;0;314;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/LinkedList$ListItr>@5 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@31693a86;<java.util.LinkedList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.LinkedList;false;false;4533;7098;0;0;137;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ServiceLoader, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/ServiceLoader$1>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@69d2e517;<java.util.ServiceLoader: java.util.Iterator iterator()>;<Primordial,Ljava.util.ServiceLoader;false;false;4672;0;0;0;0;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/ArrayList, listIterator(I)Ljava/util/ListIterator, >:NEW <Primordial,Ljava/util/ArrayList$ListItr>@39 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@1f9a7684;<java.util.ArrayList: java.util.ListIterator listIterator(int)>;<Primordial,Ljava.util.ArrayList;false;false;4407;884;0;0;51;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getIterator(I)Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3b30eec5;<java.util.Hashtable: java.util.Iterator getIterator(int)>;<Primordial,Ljava.util.Hashtable;false;false;5951;26735;0;0;129;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/LinkedHashMap$LinkedEntrySet, iterator()Ljava/util/Iterator, >:NEW <Primordial,Ljava/util/LinkedHashMap$LinkedEntryIterator>@0 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@3568ea59;<java.util.LinkedHashMap$LinkedEntrySet: java.util.Iterator iterator()>;<Primordial,Ljava.util.LinkedHashMap$LinkedEntrySet;false;false;4938;0;0;0;0;5644;0;
fink-unique;IteratorHasNext;SITE_IN_NODE{< Primordial, Ljava/util/Hashtable, getEnumeration(I)Ljava/util/Enumeration, >:NEW <Primordial,Ljava/util/Hashtable$Enumerator>@11 in Everywhere};com.ibm.wala.util.collections.NonNullSingletonIterator@2d38db6f;<java.util.Hashtable: java.util.Enumeration getEnumeration(int)>;<Primordial,Ljava.util.Hashtable;false;false;7156;94802;0;0;1313;5644;0;
