Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath;MaxMemory
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()> $r8.<init>(r1,$r9),$r8 (ScriptReaderZipped.openFile) Value: specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9));specialinvoke $r8.<java.util.zip.InflaterInputStream: void <init>(java.io.InputStream,java.util.zip.Inflater)>(r1, $r9);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;18316;3429;82;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)> $r4.<init>($r5),$r4 (ScaledRAFile.<init>) Value: specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5));specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;285;1696;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)> $r3.<init>($r4),$r3 (ScaledRAFileInJar.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;false;424;1714;35;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.TextCache: void initBuffers()> $r10.<init>($r13,$r12,$r11,varReplacer10003),$r10 (TextCache.initBuffers) Value: specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, varReplacer10003));specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, varReplacer10003);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;600179;53477;361;6016;true;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()> $r7.<init>($r8,varReplacer9671),$r7 (ScriptReaderZipped.openFile) Value: specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, varReplacer9671));specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, varReplacer9671);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;false;16868;1848;63;6016;false;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.scriptio.ScriptReaderText: void openFile()> $r8.<init>(r1),$r8 (ScriptReaderText.openFile) Value: specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.scriptio.ScriptReaderText: void openFile()>;org.hsqldb.scriptio.ScriptReaderText;false;false;68;94;5;6016;false;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.TextCache: void initBuffers()> $r1.<init>($r4,$r3,$r2,$z1),$r1 (TextCache.initBuffers) Value: specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1));specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;600194;75480;482;6016;true;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.lib.FileUtil: java.io.InputStream openInputStreamElement(java.lang.String)> $r3.<init>($r4),$r3 (FileUtil.openInputStreamElement) Value: specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4));specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4);<org.hsqldb.lib.FileUtil: java.io.InputStream openInputStreamElement(java.lang.String)>;org.hsqldb.lib.FileUtil;false;false;18169;5718;97;6016;true;true;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])> $r4.<init>(r1),$r4 (InOutUtil.deserialize) Value: specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r4.<java.io.ObjectInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.lib.InOutUtil: java.io.Serializable deserialize(byte[])>;org.hsqldb.lib.InOutUtil;false;false;324;2696;36;6016;true;false;0;0;
ideal;IO;ForwardQuery: (<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)> $r3.<init>($r4),$r3 (ScaledRAFile.<init>) Value: specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4));specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;false;886;1767;36;6016;false;false;0;0;
