Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath;MaxMemory
ideal-ap;IO;$r9 @ specialinvoke $r9.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11);specialinvoke $r9.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11);<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;true;4978;15115;4978;0;168;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r6 @ specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7);specialinvoke $r6.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r7);<org.hsqldb.scriptio.ScriptReaderBinary: void openFile()>;org.hsqldb.scriptio.ScriptReaderBinary;false;false;312;527;65;247;31;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();<org.hsqldb.scriptio.ScriptReaderText: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderText;false;true;9716;1725;9716;0;88;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputTextLog: void <init>()>;org.hsqldb.rowio.RowInputTextLog;false;true;3016;1731;3016;0;89;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r10 @ specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0);specialinvoke $r10.<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r13, $r12, $r11, 0);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;9783;38;9783;0;5;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r14 @ specialinvoke $r14.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r15);specialinvoke $r14.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r15);<org.hsqldb.persist.LockFile: long readHeartbeat()>;org.hsqldb.persist.LockFile;false;true;1733;1540;1733;0;95;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke $r8.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);<org.hsqldb.scriptio.ScriptReaderText: void openFile()>;org.hsqldb.scriptio.ScriptReaderText;false;false;439;29;39;400;3;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, 8192);specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, 8192);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;true;5546;1464;5546;0;69;6016;r1[group, threads, array, pstmt5, connection, sessionProxy, dataInput, in];0;
ideal-ap;IO;$r4 @ specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);specialinvoke $r4.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r5);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,java.io.RandomAccessFile,boolean)>;org.hsqldb.persist.ScaledRAFile;false;true;2294;818;2294;0;31;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFileInJar: void <init>(java.lang.String)>;org.hsqldb.persist.ScaledRAFileInJar;false;true;7591;828;7591;0;31;6016;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache];0;
