benchmark;ideal;ideal_ap;seeds;timeouts_ideal_ap;timeouts_ideal;errors_ideal_ap;errors_ideal;methods_ideal_ap;methods_ideal;containsFieldLoop;maxAccessPath;total_ideal;total_ideal_ap;timeouts_fraction_ideal_ap;timeouts_fraction_ideal;max_memory_ideal_ap;max_memory_ideal;index
antlr;304.7;75.3;2;0;1;0;0;12;141.0;1;3;609;150;0.0;50.0;387;1136;1
bloat;89.6;134.0;9;2;1;4;7;191;193.0;3;5;806;1206;22.2;11.1;3090;1160;2
chart;9.9;0.3;4;0;0;0;2;17;18.0;1;1;39;1;0.0;0.0;189;199;3
eclipse;89.5;250.3;24;10;3;1;3;50;195.0;9;10;2147;6007;41.7;12.5;1551;2848;4
fop;177.9;150.3;4;1;0;0;2;27;65.0;2;2;711;601;25.0;0.0;1604;3915;5
org;22.8;0.8;1;0;0;0;0;16;17.0;1;1;22;0;0.0;0.0;320;323;6
jython;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
luindex;11.1;146.5;15;3;0;2;13;28;30.0;8;4;166;2198;20.0;0.0;314;474;8
lusearch;270.4;319.4;14;7;5;2;8;109;164.0;10;13;3785;4472;50.0;35.7;2087;4500;9
pmd;482.7;461.6;13;10;10;0;9;276;318.0;10;5;6274;6000;76.9;76.9;1053;8051;10
xalan;16.8;0.4;3;0;0;0;2;19;21.0;1;1;50;1;0.0;0.0;159;164;11
