index;testCaseName;PushdownSystem;AccessPath_-1;AccessPath_1;AccessPath_2;AccessPath_3;AccessPath_4;AccessPath_5;
2;experiments.field.complexity.benchmark.Fields2LongTest;6.394;0.038;0.0566;0.0414;0.121;0.179;0.3404;
3;experiments.field.complexity.benchmark.Fields3LongTest;6.0678;0.0468;0.0634;0.0778;0.2202;1.4812;9.809;
4;experiments.field.complexity.benchmark.Fields4LongTest;5.7318;0.0876;0.0976;0.1246;0.8708;13.6018;20.0;
5;experiments.field.complexity.benchmark.Fields5LongTest;5.9542;2.3312;0.1768;0.303;3.5414;20.0;100000.0;
6;experiments.field.complexity.benchmark.Fields6LongTest;6.011;20.0;0.309;0.7198;16.0744;100000.0;100000.0;
7;experiments.field.complexity.benchmark.Fields7LongTest;6.2472;100000.0;0.4704;1.2864;20.0;100000.0;100000.0;
8;experiments.field.complexity.benchmark.Fields8LongTest;6.2162;100000.0;0.736;2.5442;100000.0;100000.0;100000.0;
9;experiments.field.complexity.benchmark.Fields9LongTest;6.622;100000.0;1.0496;4.732;100000.0;100000.0;100000.0;
10;experiments.field.complexity.benchmark.Fields10LongTest;7.1958;100000.0;1.6954;9.9388;100000.0;100000.0;100000.0;
11;experiments.field.complexity.benchmark.Fields11LongTest;8.6364;100000.0;2.5688;15.5336;100000.0;100000.0;100000.0;
12;experiments.field.complexity.benchmark.Fields12LongTest;11.8908;100000.0;3.5384;20.0;100000.0;100000.0;100000.0;
13;experiments.field.complexity.benchmark.Fields13LongTest;13.7112;100000.0;5.441;100000.0;100000.0;100000.0;100000.0;
14;experiments.field.complexity.benchmark.Fields14LongTest;16.199;100000.0;6.2246;100000.0;100000.0;100000.0;100000.0;
15;experiments.field.complexity.benchmark.Fields15LongTest;18.5516;100000.0;6.5716;100000.0;100000.0;100000.0;100000.0;
16;experiments.field.complexity.benchmark.Fields16LongTest;21.5122;100000.0;8.3352;100000.0;100000.0;100000.0;100000.0;
17;experiments.field.complexity.benchmark.Fields17LongTest;27.1262;100000.0;15.2642;100000.0;100000.0;100000.0;100000.0;
18;experiments.field.complexity.benchmark.Fields18LongTest;34.8572;100000.0;13.3712;100000.0;100000.0;100000.0;100000.0;
19;experiments.field.complexity.benchmark.Fields19LongTest;39.5026;100000.0;16.1558;100000.0;100000.0;100000.0;100000.0;
20;experiments.field.complexity.benchmark.Fields20LongTest;49.5304;100000.0;21.5832;100000.0;100000.0;100000.0;100000.0;
