Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;EmptyVector;ForwardQuery: (addAttribute $r6 = new BundleNativeCode$Attribute,$r6 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);$r6 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;7399;420;23;3055;true;false;
ideal;EmptyVector;ForwardQuery: (vectorise $r3 = new Vector,$r3 (TestHarness.vectorise) Value: new java.util.Vector);$r3 = new java.util.Vector;<dacapo.TestHarness: java.util.Vector vectorise(java.lang.String[])>;dacapo.TestHarness;true;false;2009;240;14;3055;true;false;
ideal;EmptyVector;ForwardQuery: (parseHeader $r7 = new Vector,$r7 (ManifestElement.parseHeader) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;2241;339;11;3055;true;false;
ideal;EmptyVector;ForwardQuery: (addAttribute $r11 = new BundleNativeCode$Attribute,$r11 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);$r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;62333;457;25;3055;true;false;
ideal;EmptyVector;ForwardQuery: (parse_or $r5 = new Vector,$r5 (FilterImpl$Parser.parse_or) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;240;109;11;3055;true;false;
ideal;EmptyVector;ForwardQuery: (getArrayFromList $r5 = new Vector,$r5 (ManifestElement.getArrayFromList) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: java.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;247;147;14;3055;true;false;
ideal;EmptyVector;ForwardQuery: (getPermissionInfos $r7 = new Vector,$r7 (PermissionAdminImpl.getPermissionInfos) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.osgi.service.permissionadmin.PermissionInfo[] getPermissionInfos(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;250;150;13;3055;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r5 = new Vector,$r5 (ConditionalPermissions.<init>) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;602898;1351;1317;3055;true;true;
ideal;EmptyVector;ForwardQuery: (addAttribute $r21 = new BundleNativeCode$Attribute,$r21 (BundleNativeCode.addAttribute) Value: new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute);$r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;false;2697;438;23;3055;true;false;
ideal;EmptyVector;ForwardQuery: (implies $r24 = new Vector,$r24 (ConditionalPermissions.implies) Value: new java.util.Vector);$r24 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;1503;238;11;3055;true;false;
ideal;EmptyVector;ForwardQuery: (getArrayFromList $r7 = new Vector,$r7 (EclipseStarter.getArrayFromList) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;751;147;14;3055;true;false;
ideal;EmptyVector;ForwardQuery: (getArrayFromList $r5 = new Vector,$r5 (PolicyHandler.getArrayFromList) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PolicyHandler: java.lang.Object[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.framework.internal.core.PolicyHandler;false;false;633;145;14;3055;true;false;
ideal;EmptyVector;ForwardQuery: (parse_substring $r5 = new Vector,$r5 (FilterImpl$Parser.parse_substring) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: java.lang.Object parse_substring()>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;true;false;984;210;13;3055;true;false;
ideal;EmptyVector;ForwardQuery: (<init> $r7 = new Vector,$r7 (ConditionalPermissionAdminImpl.<init>) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;600013;707;1322;3055;true;true;
ideal;EmptyVector;ForwardQuery: (parse_and $r5 = new Vector,$r5 (FilterImpl$Parser.parse_and) Value: new java.util.Vector);$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_and(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;561;109;11;3055;true;false;
ideal;EmptyVector;ForwardQuery: (createProtectionDomain $r15 = new Vector,$r15 (PermissionAdminImpl.createProtectionDomain) Value: new java.util.Vector);$r15 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;452;165;12;3055;true;false;
ideal;EmptyVector;ForwardQuery: (add $r7 = new Vector,$r7 (UnresolvedPermissionCollection.add) Value: new java.util.Vector);$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection: void add(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.UnresolvedPermissionCollection;false;false;1216;163;12;3055;true;true;
ideal;EmptyVector;ForwardQuery: (implies $r20 = new Vector,$r20 (ConditionalPermissions.implies) Value: new java.util.Vector);$r20 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: boolean implies(java.security.Permission)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;false;1103;239;12;3055;true;false;
