Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;IO;ForwardQuery: (getFileInputStream $r8.<init>(r1),$r8 (SecureAction.getFileInputStream) Value: specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1));specialinvoke $r8.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<org.eclipse.osgi.framework.util.SecureAction: java.io.FileInputStream getFileInputStream(java.io.File)>;org.eclipse.osgi.framework.util.SecureAction;false;false;1302;45;6;3055;true;false;
ideal;IO;ForwardQuery: (run $r1.<init>($r2),$r1 (SecureAction$4.run) Value: specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2));specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;321;48;7;3055;true;false;
ideal;IO;ForwardQuery: (getBinary $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1630;418;26;3055;true;true;
ideal;IO;ForwardQuery: (unpackZipFileResource $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;14770;1918;50;3055;true;true;
ideal;IO;ForwardQuery: (getBinary $r4.<init>($r5),$r4 (FileDigest.getBinary) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;159;184;10;3055;true;false;
ideal;IO;ForwardQuery: (loadVMProfile $r11.<init>(r1),$r11 (Framework.loadVMProfile) Value: specialinvoke $r11.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r11.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);<org.eclipse.osgi.framework.internal.core.Framework: void loadVMProfile()>;org.eclipse.osgi.framework.internal.core.Framework;false;false;849;1068;17;3055;true;true;
ideal;IO;ForwardQuery: (createProtectionDomain $r13.<init>($r14),$r13 (PermissionAdminImpl.createProtectionDomain) Value: specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14));specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;19;123;3;3055;true;false;
ideal;IO;ForwardQuery: (unpackZipStream $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;631;533;15;3055;true;false;
ideal;IO;ForwardQuery: (unpackZipFile $r4.<init>(r0),$r4 (Benchmark.unpackZipFile) Value: specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0));specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;31363;2133;56;3055;true;true;
ideal;IO;ForwardQuery: (computeDefaultUserAreaLocation $r9.<init>(r4),$r9 (LocationManager.computeDefaultUserAreaLocation) Value: specialinvoke $r9.<java.io.FileInputStream: void <init>(java.io.File)>(r4));specialinvoke $r9.<java.io.FileInputStream: void <init>(java.io.File)>(r4);<org.eclipse.core.runtime.adaptor.LocationManager: java.lang.String computeDefaultUserAreaLocation(java.lang.String)>;org.eclipse.core.runtime.adaptor.LocationManager;false;false;494;873;9;3055;true;true;
ideal;IO;ForwardQuery: (unpackZipFile $r3.<init>($r4),$r3 (Benchmark.unpackZipFile) Value: specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4));specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;false;25730;2133;56;3055;true;true;
ideal;IO;ForwardQuery: (getFileOutputStream $r8.<init>($r9,z0),$r8 (SecureAction.getFileOutputStream) Value: specialinvoke $r8.<java.io.FileOutputStream: void <init>(java.lang.String,boolean)>($r9, z0));specialinvoke $r8.<java.io.FileOutputStream: void <init>(java.lang.String,boolean)>($r9, z0);<org.eclipse.osgi.framework.util.SecureAction: java.io.FileOutputStream getFileOutputStream(java.io.File,boolean)>;org.eclipse.osgi.framework.util.SecureAction;false;false;1908;71;8;3055;true;false;
