Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: java.lang.String[] getArrayFromList(java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;971;221;331;640;13;3055;null;
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissions: void <init>(org.eclipse.osgi.framework.internal.core.AbstractBundle,org.osgi.service.condpermadmin.ConditionalPermissionAdmin)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissions;false;true;111349;12203;111349;0;125;3055;r1[next, prev, parent, right, value, array, domain, permissions, conditional, satisfiedCPIs];
ideal-ap;EmptyVector;$r11 @ $r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r11 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;218632;468;218632;0;22;3055;r1[next, prev, parent, right, value, array, domain, permissions, conditional, satisfiedCPIs];
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;348;254;96;252;13;3055;r1[next, prev, parent, right, value, array, domain, permissions, conditional, satisfiedCPIs];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl: void <init>(org.eclipse.osgi.framework.internal.core.Framework,org.eclipse.osgi.framework.adaptor.PermissionStorage)>;org.eclipse.osgi.framework.internal.core.ConditionalPermissionAdminImpl;false;true;34348;419942;34348;0;654;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.osgi.util.ManifestElement: org.eclipse.osgi.util.ManifestElement[] parseHeader(java.lang.String,java.lang.String)>;org.eclipse.osgi.util.ManifestElement;false;false;571;1310;213;358;10;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.eclipse.core.runtime.adaptor.EclipseStarter: java.lang.String[] getArrayFromList(java.lang.String,java.lang.String)>;org.eclipse.core.runtime.adaptor.EclipseStarter;false;false;336;221;100;236;13;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
ideal-ap;EmptyVector;$r15 @ $r15 = new java.util.Vector;$r15 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;269;393;106;163;11;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
ideal-ap;EmptyVector;$r21 @ $r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;$r21 = new org.eclipse.osgi.framework.internal.core.BundleNativeCode$Attribute;<org.eclipse.osgi.framework.internal.core.BundleNativeCode: void addAttribute(java.lang.String,java.lang.String)>;org.eclipse.osgi.framework.internal.core.BundleNativeCode;false;true;65768;447;65768;0;20;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.eclipse.osgi.framework.internal.core.FilterImpl$Parser: void parse_or(org.eclipse.osgi.framework.internal.core.FilterImpl)>;org.eclipse.osgi.framework.internal.core.FilterImpl$Parser;false;false;169;146;46;123;10;3055;r1[next, prev, parent, right, value, array, framework, systemBundle, context, framework, condPermAdmin, condPerms];
