Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;IO;$r9 @ specialinvoke $r9.<java.io.FileInputStream: void <init>(java.io.File)>(r4);specialinvoke $r9.<java.io.FileInputStream: void <init>(java.io.File)>(r4);<org.eclipse.core.runtime.adaptor.LocationManager: java.lang.String computeDefaultUserAreaLocation(java.lang.String)>;org.eclipse.core.runtime.adaptor.LocationManager;false;true;438625;33230;438625;0;22;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;635;989;153;482;14;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r1 @ specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);<org.eclipse.osgi.framework.util.SecureAction$4: java.lang.Object run()>;org.eclipse.osgi.framework.util.SecureAction$4;false;false;359;95;174;185;7;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;287820;3273;287820;0;46;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r13 @ specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14);specialinvoke $r13.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r14);<org.eclipse.osgi.framework.internal.core.PermissionAdminImpl: org.eclipse.osgi.framework.adaptor.BundleProtectionDomain createProtectionDomain(org.eclipse.osgi.framework.internal.core.AbstractBundle)>;org.eclipse.osgi.framework.internal.core.PermissionAdminImpl;false;false;360;124;4;356;2;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;466;194;162;304;9;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r11 @ specialinvoke $r11.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke $r11.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>(r1);<org.eclipse.osgi.framework.internal.core.Framework: void loadVMProfile()>;org.eclipse.osgi.framework.internal.core.Framework;false;true;393326;33228;393326;0;22;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;298130;3312;298130;0;48;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<dacapo.Benchmark: void unpackZipFile(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;237391;3273;237391;0;46;3055;r0[inStream, in, fd, parent, fd, otherParents];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;300379;718;300160;219;27;3055;r0[inStream, in, fd, parent, fd, otherParents];
