Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;IO;ForwardQuery: (inOpenCacheFile $r2.<init>($r3),$r2 (CachedJarsPackageManager.inOpenCacheFile) Value: specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r3));specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r3);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenCacheFile(java.lang.String)>;org.python.core.CachedJarsPackageManager;false;false;1300;343;8;4247;true;false;
ideal;IO;ForwardQuery: (inOpenIndex $r5.<init>($r6),$r5 (CachedJarsPackageManager.inOpenIndex) Value: specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r6));specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r6);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenIndex()>;org.python.core.CachedJarsPackageManager;false;false;233;326;8;4247;true;false;
ideal;IO;ForwardQuery: (unpackZipStream $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1840;533;16;4247;true;false;
ideal;IO;ForwardQuery: (getBinary $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;890;414;31;4247;true;true;
ideal;IO;ForwardQuery: (partialParse $r7.<init>(r0),$r7 (parser.partialParse) Value: specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0));specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0);<org.python.core.parser: org.python.parser.ast.modType partialParse(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags,boolean)>;org.python.core.parser;false;false;231;117;10;4247;true;false;
ideal;IO;ForwardQuery: (<init> r0.<init>(r1),r0 (PollingInputStream.<init>) Value: specialinvoke r0.<java.io.FilterInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke r0.<java.io.FilterInputStream: void <init>(java.io.InputStream)>(r1);<org.python.core.PollingInputStream: void <init>(java.io.InputStream)>;org.python.core.PollingInputStream;false;true;600026;18819;1877;4247;true;true;
ideal;IO;ForwardQuery: (compile_flags $r4.<init>($r8),$r4 (Py.compile_flags) Value: specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8));specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8);<org.python.core.Py: org.python.core.PyCode compile_flags(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags)>;org.python.core.Py;false;false;105;135;12;4247;true;false;
ideal;IO;ForwardQuery: (execfile_flags $r8.<init>(r0),$r8 (__builtin__.execfile_flags) Value: specialinvoke $r8.<java.io.FileInputStream: void <init>(java.lang.String)>(r0));specialinvoke $r8.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<org.python.core.__builtin__: void execfile_flags(java.lang.String,org.python.core.PyObject,org.python.core.PyObject,org.python.core.CompilerFlags)>;org.python.core.__builtin__;false;false;5593;277;18;4247;true;true;
ideal;IO;ForwardQuery: (getZipPackages $r9.<init>(r1),$r9 (CachedJarsPackageManager.getZipPackages) Value: specialinvoke $r9.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r1));specialinvoke $r9.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r1);<org.python.core.CachedJarsPackageManager: java.util.Hashtable getZipPackages(java.io.InputStream)>;org.python.core.CachedJarsPackageManager;false;false;7295;945;36;4247;true;true;
ideal;IO;ForwardQuery: (getInputStream $r5.<init>(r3),$r5 (SyspathArchive.getInputStream) Value: specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3));specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3);<org.python.core.SyspathArchive: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;org.python.core.SyspathArchive;false;false;60048;64;8;4247;true;false;
