Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.util.CommandLineOptions: void <init>()>;org.python.util.CommandLineOptions;false;false;6817;15712;3487;3330;16;4247;r0[warnoptions];
ideal-ap;EmptyVector;$r14 @ $r14 = new java.util.Stack;$r14 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;883591;3257523;883591;0;788;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Stack;$r12 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;872320;3289808;872320;0;789;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<org.python.core.MakeProxies: java.lang.Class makeClass(java.lang.Class,java.util.Vector,java.lang.String,java.io.ByteArrayOutputStream)>;org.python.core.MakeProxies;false;false;385;149;81;304;14;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.Class[] getAccessibleInterfaces(java.lang.Class)>;org.python.core.PyJavaClass;false;false;313;211;85;228;12;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void sizeClause(dacapo.parser.Config,java.lang.String)>;dacapo.parser.ConfigFile;false;false;301;254;85;216;13;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r4 @ $r4 = new java.util.Vector;$r4 = new java.util.Vector;<dacapo.parser.ConfigFile: void <init>(java.io.InputStream,java.lang.String)>;dacapo.parser.ConfigFile;false;false;1025;1623;783;242;32;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, inFinallyLabels];
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;$r8 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;626181;4285812;626181;0;790;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;615833;3989180;615833;0;784;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;612741;4252893;612741;0;788;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.LineNumberTable: void <init>(org.python.compiler.ConstantPool)>;org.python.compiler.LineNumberTable;false;false;240296;150;239951;345;14;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r10 @ $r10 = new java.util.Vector;$r10 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;632423;4285479;632423;0;868;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;632433;4010173;632433;0;831;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r6 @ $r6 = new java.util.Vector;$r6 = new java.util.Vector;<org.python.parser.PythonGrammar: void <init>(org.python.parser.CharStream)>;org.python.parser.PythonGrammar;false;false;302070;9637;301236;834;285;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r2 @ $r2 = new java.util.Vector;$r2 = new java.util.Vector;<org.python.compiler.Code: java.util.Vector getActiveLocals()>;org.python.compiler.Code;false;true;9068;509;9068;0;16;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r9 @ $r9 = new java.util.Vector;$r9 = new java.util.Vector;<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;606220;4271711;606220;0;868;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;619811;4035599;619811;0;800;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;627516;4252676;627516;0;790;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Stack;$r1 = new java.util.Stack;<org.python.parser.JJTPythonGrammarState: void <init>()>;org.python.parser.JJTPythonGrammarState;false;true;620170;36196;620170;0;315;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Stack;$r11 = new java.util.Stack;<org.python.compiler.CodeCompiler: void <init>(org.python.compiler.Module,boolean)>;org.python.compiler.CodeCompiler;false;true;602140;4258973;602140;0;789;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r11 @ $r11 = new java.util.Vector;$r11 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;10814;210;10814;0;13;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r12 @ $r12 = new java.util.Vector;$r12 = new java.util.Vector;<org.python.core.CachedJarsPackageManager: void addZipEntry(java.util.Hashtable,java.util.zip.ZipEntry,java.util.zip.ZipInputStream)>;org.python.core.CachedJarsPackageManager;false;true;9000;204;9000;0;13;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r3 @ $r3 = new java.util.Vector;$r3 = new java.util.Vector;<org.python.compiler.ArgListCompiler: void <init>()>;org.python.compiler.ArgListCompiler;false;true;605076;4060627;605076;0;800;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.core.PyJavaClass: java.lang.reflect.Field[] getAccessibleFields(java.lang.Class)>;org.python.core.PyJavaClass;false;false;1606;189;43;1563;12;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r5 @ $r5 = new java.util.Vector;$r5 = new java.util.Vector;<org.python.compiler.ScopeInfo: void cook(org.python.compiler.ScopeInfo,org.python.compiler.CompilationContext)>;org.python.compiler.ScopeInfo;true;false;428;1919;126;302;13;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r8 @ $r8 = new java.util.Vector;$r8 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;613598;4003867;613598;0;831;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.python.compiler.ScopeInfo: void <init>(java.lang.String,org.python.parser.SimpleNode,int,int,int,org.python.compiler.ArgListCompiler)>;org.python.compiler.ScopeInfo;false;true;635859;4337821;635859;0;790;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r7 @ $r7 = new java.util.Vector;$r7 = new java.util.Vector;<org.python.compiler.ClassFile: void <init>(java.lang.String,java.lang.String,int)>;org.python.compiler.ClassFile;false;true;615366;4031048;615366;0;831;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
ideal-ap;EmptyVector;$r1 @ $r1 = new java.util.Vector;$r1 = new java.util.Vector;<org.python.core.BytecodeLoader: java.util.Vector init()>;org.python.core.BytecodeLoader;false;true;36239;3053;36239;0;27;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, im_func, __self__, this$0, cur, jy_paramcells];
