Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r30);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r30);<org.python.core.CachedJarsPackageManager: void addJarToPackages(java.net.URL,java.io.File,boolean)>;org.python.core.CachedJarsPackageManager;false;true;601220;4905;601220;0;68;4247;r0[file, file, istream, in];
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenCacheFile(java.lang.String)>;org.python.core.CachedJarsPackageManager;false;true;228645;1348;228645;0;45;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;391982;1303;390273;1709;47;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1161;194;204;957;9;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>($r5);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>($r5);<org.python.core.SyspathJavaLoader: java.io.FileInputStream open(java.lang.String,java.lang.String)>;org.python.core.SyspathJavaLoader;false;false;1023;216;224;799;12;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r1);specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r1);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenIndex()>;org.python.core.CachedJarsPackageManager;false;true;627492;3792;627492;0;53;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r3);specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r3);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenCacheFile(java.lang.String)>;org.python.core.CachedJarsPackageManager;false;false;908;348;37;871;6;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r6 @ specialinvoke $r6.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r7);specialinvoke $r6.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r7);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenIndex()>;org.python.core.CachedJarsPackageManager;false;true;266157;1332;266157;0;46;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r6);specialinvoke $r5.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r6);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenIndex()>;org.python.core.CachedJarsPackageManager;false;false;1564;331;25;1539;7;4247;r0[stdin, file, file, istream, in];
ideal-ap;IO;r0 @ specialinvoke r0.<java.io.FilterInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke r0.<java.io.FilterInputStream: void <init>(java.io.InputStream)>(r1);<org.python.core.PollingInputStream: void <init>(java.io.InputStream)>;org.python.core.PollingInputStream;false;true;601435;2361982;601435;0;1748;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;false;true;601474;4260;601474;0;58;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);specialinvoke $r3.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r4);<org.python.core.CachedJarsPackageManager: void addJarToPackages(java.net.URL,java.io.File,boolean)>;org.python.core.CachedJarsPackageManager;false;true;601165;4868;601165;0;66;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r9 @ specialinvoke $r9.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r1);specialinvoke $r9.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r1);<org.python.core.CachedJarsPackageManager: java.util.Hashtable getZipPackages(java.io.InputStream)>;org.python.core.CachedJarsPackageManager;false;true;603494;1711;603494;0;50;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r2 @ specialinvoke $r2.<org.python.core.PollingInputStream: void <init>(java.io.InputStream)>($r3);specialinvoke $r2.<org.python.core.PollingInputStream: void <init>(java.io.InputStream)>($r3);<org.python.core.PySystemState: java.io.InputStream getSystemIn()>;org.python.core.PySystemState;false;true;716753;2843447;716753;0;1741;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<org.python.core.PySystemState: void addRegistryFile(java.io.File)>;org.python.core.PySystemState;false;true;420593;27385;420593;0;49;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0);specialinvoke $r2.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<org.python.core.imp: java.io.InputStream makeStream(java.io.File)>;org.python.core.imp;false;true;615124;91166;615124;0;390;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3);specialinvoke $r5.<java.io.ByteArrayInputStream: void <init>(byte[])>(r3);<org.python.core.SyspathArchive: java.io.InputStream getInputStream(java.util.zip.ZipEntry)>;org.python.core.SyspathArchive;false;false;1022;217;414;608;12;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r1);specialinvoke $r4.<java.io.FileInputStream: void <init>(java.lang.String)>(r1);<org.python.core.CachedJarsPackageManager: java.io.DataInputStream inOpenCacheFile(java.lang.String)>;org.python.core.CachedJarsPackageManager;false;true;611501;3807;611501;0;52;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0);specialinvoke $r7.<java.io.StringBufferInputStream: void <init>(java.lang.String)>(r0);<org.python.core.parser: org.python.parser.ast.modType partialParse(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags,boolean)>;org.python.core.parser;false;true;76334;90813;76334;0;374;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.PushbackInputStream: void <init>(java.io.InputStream)>(r0);specialinvoke $r2.<java.io.PushbackInputStream: void <init>(java.io.InputStream)>(r0);<org.python.core.PyFile: java.io.InputStream _pb(java.io.InputStream,java.lang.String)>;org.python.core.PyFile;false;true;605166;2310508;605166;0;1731;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);specialinvoke $r8.<java.io.FileInputStream: void <init>(java.lang.String)>(r0);<org.python.core.__builtin__: void execfile_flags(java.lang.String,org.python.core.PyObject,org.python.core.PyObject,org.python.core.CompilerFlags)>;org.python.core.__builtin__;false;true;624824;90872;624824;0;383;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;217880;1157;211492;6388;15;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r4 @ specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8);specialinvoke $r4.<java.io.StringBufferInputStream: void <init>(java.lang.String)>($r8);<org.python.core.Py: org.python.core.PyCode compile_flags(java.lang.String,java.lang.String,java.lang.String,org.python.core.CompilerFlags)>;org.python.core.Py;false;true;629355;90719;629355;0;375;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r0);specialinvoke $r2.<java.io.DataInputStream: void <init>(java.io.InputStream)>(r0);<org.python.core.PackageManager: int checkAccess(java.io.InputStream)>;org.python.core.PackageManager;false;false;786;153;18;768;6;4247;r0[reprStack, list, array, baseArray, array, systemState, stdin, file, file, istream, in];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.ByteArrayOutputStream: void <init>()>();specialinvoke $r5.<java.io.ByteArrayOutputStream: void <init>()>();<org.python.compiler.Code: void <init>(java.lang.String,org.python.compiler.ConstantPool,boolean)>;org.python.compiler.Code;false;true;662461;3079287;662461;0;879;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r13 @ specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048);specialinvoke $r13.<java.io.BufferedOutputStream: void <init>(java.io.OutputStream,int)>(r5, 2048);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1934;182;519;1415;8;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r16 @ specialinvoke $r16.<org.python.core.StdoutWrapper: void <init>()>();specialinvoke $r16.<org.python.core.StdoutWrapper: void <init>()>();<org.python.core.PySystemState: void initStaticFields()>;org.python.core.PySystemState;false;false;12936;21089;7754;5182;629;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r19 @ specialinvoke $r19.<org.python.core.FixedFileWrapper: void <init>(org.python.core.PyObject)>(r2);specialinvoke $r19.<org.python.core.FixedFileWrapper: void <init>(org.python.core.PyObject)>(r2);<org.python.core.Py: void printException(java.lang.Throwable,org.python.core.PyFrame,org.python.core.PyObject)>;org.python.core.Py;false;false;478;235;26;452;10;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.ByteArrayOutputStream: void <init>()>();specialinvoke $r2.<java.io.ByteArrayOutputStream: void <init>()>();<org.python.core.Py: java.lang.String getStackTrace(java.lang.Throwable)>;org.python.core.Py;false;true;638419;3086551;638419;0;587;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r2 @ specialinvoke $r2.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>(r1);specialinvoke $r2.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>(r1);<org.python.compiler.ClassFile: void write(java.io.OutputStream)>;org.python.compiler.ClassFile;false;true;15505;296;15505;0;14;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r6 @ specialinvoke $r6.<java.io.FileOutputStream: void <init>(java.io.File)>(r1);specialinvoke $r6.<java.io.FileOutputStream: void <init>(java.io.File)>(r1);<org.python.core.CachedJarsPackageManager: java.io.DataOutputStream outOpenIndex()>;org.python.core.CachedJarsPackageManager;false;true;27843;1204;27843;0;37;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r5 @ specialinvoke $r5.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>($r6);specialinvoke $r5.<java.io.DataOutputStream: void <init>(java.io.OutputStream)>($r6);<org.python.core.CachedJarsPackageManager: java.io.DataOutputStream outCreateCacheFile(org.python.core.CachedJarsPackageManager$JarXEntry,boolean)>;org.python.core.CachedJarsPackageManager;false;true;25825;357;25825;0;12;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
ideal-ap;IO;$r12 @ specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);specialinvoke $r12.<java.io.FileOutputStream: void <init>(java.io.File)>(r4);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;380012;663;379716;296;28;4247;r0[reprStack, list, array, baseArray, array, instclass, im_self, im_class, __self__, this$0, code, code, out];
