Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;true;42881;50;42881;0;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;false;297;67;50;247;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;147;67;27;120;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;true;38016;50;38016;0;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;false;61550;57;61440;110;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;false;121;49;32;89;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;105;53;33;72;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;382;410;234;148;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;358;71;271;87;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;123;60;36;87;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;123;82;33;90;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: float score()>;org.apache.lucene.search.ConjunctionScorer;false;true;15285;50;15285;0;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];521222376;
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r2.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: boolean skipTo(int)>;org.apache.lucene.search.ConjunctionScorer;false;false;247;67;37;210;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];169907888;
ideal-ap;IteratorHasNext;r1 @ r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();r1 = virtualinvoke $r6.<java.util.LinkedList: java.util.Iterator iterator()>();<org.apache.lucene.search.ConjunctionScorer: void init(boolean)>;org.apache.lucene.search.ConjunctionScorer;false;false;106;67;22;84;4;2492;r0[reqScorer, exclScorer, scorers, next, scorer, countingSumScorer, optScorer, scorer, scorers];170168680;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.BooleanScorer2: org.apache.lucene.search.Scorer countingConjunctionSumScorer(java.util.List)>;org.apache.lucene.search.BooleanScorer2;false;true;25390;50;25390;0;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];1031571208;
ideal-ap;IteratorHasNext;r1 @ r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();r1 = interfaceinvoke $r3.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.search.DisjunctionSumScorer: void initScorerQueue()>;org.apache.lucene.search.DisjunctionSumScorer;false;false;61489;57;61430;59;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];948160664;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();r2 = interfaceinvoke r1.<java.util.List: java.util.Iterator iterator()>();<org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue: void <init>(java.util.List)>;org.apache.lucene.index.MultipleTermPositions$TermPositionsQueue;false;false;63;49;13;50;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];175704320;
ideal-ap;IteratorHasNext;r3 @ r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();r3 = interfaceinvoke r1.<java.util.Collection: java.util.Iterator iterator()>();<org.apache.lucene.search.Similarity: float idf(java.util.Collection,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.Similarity;false;false;58;53;13;45;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];175669744;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: boolean validate(java.lang.String)>;dacapo.Benchmark;true;false;192;410;113;79;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];183931208;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r6.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight: void <init>(org.apache.lucene.search.MultiPhraseQuery,org.apache.lucene.search.Searcher)>;org.apache.lucene.search.MultiPhraseQuery$MultiPhraseWeight;false;false;64;60;18;46;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];175597792;
ideal-ap;IteratorHasNext;r3 @ r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();r3 = virtualinvoke $r8.<java.util.ArrayList: java.util.Iterator iterator()>();<org.apache.lucene.search.MultiPhraseQuery: java.lang.String toString(java.lang.String)>;org.apache.lucene.search.MultiPhraseQuery;false;false;60;82;13;47;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];175805064;
ideal-ap;IteratorHasNext;r2 @ r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();r2 = interfaceinvoke $r5.<java.util.Set: java.util.Iterator iterator()>();<dacapo.Benchmark: void postIterationCleanup(java.lang.String)>;dacapo.Benchmark;true;false;136;71;85;51;4;2492;r0[this$1, pending, this$0, elementData, array, countingSumScorer, reqScorer, reqScorer, scorer, scorers, next, scorer];183381920;
