Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;VisitedMethod;ReachableMethods;CallRecursion;FieldLoop;MaxAccessPath
ideal;IO;ForwardQuery: (getBinary $r5.<init>(r0),$r5 (FileDigest.getBinary) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0));specialinvoke $r5.<java.io.FileInputStream: void <init>(java.io.File)>(r0);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;6834;414;29;3775;true;true;
ideal;IO;ForwardQuery: (getBinary $r4.<init>($r5),$r4 (FileDigest.getBinary) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.FileDigest: byte[] getBinary(java.io.File)>;dacapo.FileDigest;false;false;1531;184;10;3775;true;false;
ideal;IO;ForwardQuery: (unpackZipFileResource $r4.<init>($r5),$r4 (Benchmark.unpackZipFileResource) Value: specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5));specialinvoke $r4.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r5);<dacapo.Benchmark: void unpackZipFileResource(java.lang.String,java.io.File)>;dacapo.Benchmark;true;false;48665;2182;60;3775;true;true;
ideal;IO;ForwardQuery: (unpackZipStream $r8.<init>(r0),$r8 (Benchmark.unpackZipStream) Value: specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0));specialinvoke $r8.<java.util.zip.ZipInputStream: void <init>(java.io.InputStream)>(r0);<dacapo.Benchmark: void unpackZipStream(java.io.BufferedInputStream,java.io.File)>;dacapo.Benchmark;false;false;1081;533;16;3775;true;false;
ideal;IO;ForwardQuery: (getInputStream $r1.<init>($r2),$r1 (FileDataSource.getInputStream) Value: specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2));specialinvoke $r1.<java.io.FileInputStream: void <init>(java.io.File)>($r2);<net.sourceforge.pmd.FileDataSource: java.io.InputStream getInputStream()>;net.sourceforge.pmd.FileDataSource;false;false;316;154;11;3775;true;false;
ideal;IO;ForwardQuery: (collectFilesFromFile $r5.<init>(r1),$r5 (PmdHarness.collectFilesFromFile) Value: specialinvoke $r5.<java.io.FileInputStream: void <init>(java.lang.String)>(r1));specialinvoke $r5.<java.io.FileInputStream: void <init>(java.lang.String)>(r1);<dacapo.pmd.PmdHarness: java.lang.String collectFilesFromFile(java.lang.String)>;dacapo.pmd.PmdHarness;false;false;142;46;5;3775;true;false;
ideal;IO;ForwardQuery: (loadResourceAsStream $r7.<init>(r2),$r7 (ResourceLoader.loadResourceAsStream) Value: specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r2));specialinvoke $r7.<java.io.FileInputStream: void <init>(java.io.File)>(r2);<net.sourceforge.pmd.util.ResourceLoader: java.io.InputStream loadResourceAsStream(java.lang.String,java.lang.ClassLoader)>;net.sourceforge.pmd.util.ResourceLoader;false;false;93;193;9;3775;true;false;
ideal;IO;ForwardQuery: (processFiles $r10.<init>($r11),$r10 (PMD.processFiles) Value: specialinvoke $r10.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11));specialinvoke $r10.<java.io.BufferedInputStream: void <init>(java.io.InputStream)>($r11);<net.sourceforge.pmd.PMD: void processFiles(java.util.List,net.sourceforge.pmd.RuleContext,net.sourceforge.pmd.RuleSets,boolean,boolean,java.lang.String,java.lang.String)>;net.sourceforge.pmd.PMD;false;false;155;81;6;3775;true;false;
ideal;IO;ForwardQuery: (<init> $r12 = new TeePrintStream,$r12 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r12 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;6565;77;11;3775;true;false;
ideal;IO;ForwardQuery: (<init> $r9 = new TeePrintStream,$r9 (Benchmark.<init>) Value: new dacapo.TeePrintStream);$r9 = new dacapo.TeePrintStream;<dacapo.Benchmark: void <init>(dacapo.parser.Config,java.io.File)>;dacapo.Benchmark;false;false;1785;77;11;3775;true;false;
