Analysis;Rule;Seed;SeedStatement;SeedMethod;SeedClass;Is_In_Error;Timedout;AnalysisTimes;PropagationCount;Phase1Time;Phase2Time;VisitedMethod;ReachableMethods;MaxAccessPath
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputText: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>;org.hsqldb.rowio.RowInputText;false;true;10540;89;10540;0;6;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1);specialinvoke r0.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>(r1);<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>;org.hsqldb.rowio.RowInputBase;false;true;9474;17116;9474;0;257;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);specialinvoke $r3.<org.hsqldb.lib.HsqlByteArrayInputStream: void <init>(byte[])>($r4);<org.hsqldb.persist.ScaledRAFile: void <init>(java.lang.String,boolean)>;org.hsqldb.persist.ScaledRAFile;false;true;630517;1096;630517;0;32;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r3 @ specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4);specialinvoke $r3.<java.io.FileInputStream: void <init>(java.io.File)>($r4);<org.hsqldb.lib.FileUtil: java.io.InputStream openInputStreamElement(java.lang.String)>;org.hsqldb.lib.FileUtil;false;true;11383;4015;11383;0;90;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r8 @ specialinvoke $r8.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r9);specialinvoke $r8.<java.io.DataInputStream: void <init>(java.io.InputStream)>($r9);<org.hsqldb.HSQLClientConnection: void openConnection(java.lang.String,int,boolean)>;org.hsqldb.HSQLClientConnection;false;true;42497;14370;42497;0;142;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r3 @ specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();specialinvoke $r3.<org.hsqldb.rowio.RowInputTextLog: void <init>()>();<org.hsqldb.scriptio.ScriptReaderText: void <init>(org.hsqldb.Database,java.lang.String)>;org.hsqldb.scriptio.ScriptReaderText;false;true;114028;1725;114028;0;88;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r1);<org.hsqldb.rowio.RowInputBase: void <init>()>;org.hsqldb.rowio.RowInputBase;false;true;217552;1969;217552;0;96;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r1 @ specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);specialinvoke $r1.<org.hsqldb.rowio.RowInputTextQuoted: void <init>(java.lang.String,java.lang.String,java.lang.String,boolean)>($r4, $r3, $r2, $z1);<org.hsqldb.persist.TextCache: void initBuffers()>;org.hsqldb.persist.TextCache;false;true;40266;42;40266;0;5;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;r0 @ specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2);specialinvoke r0.<org.hsqldb.rowio.RowInputBase: void <init>(byte[])>($r2);<org.hsqldb.rowio.RowInputBinary: void <init>(org.hsqldb.rowio.RowOutputBinary)>;org.hsqldb.rowio.RowInputBinary;false;true;100808;15720;100808;0;213;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
ideal-ap;IO;$r7 @ specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, 8192);specialinvoke $r7.<java.io.BufferedInputStream: void <init>(java.io.InputStream,int)>($r8, 8192);<org.hsqldb.scriptio.ScriptReaderZipped: void openFile()>;org.hsqldb.scriptio.ScriptReaderZipped;false;true;13040;1454;13040;0;69;5923;r0[sqlStatement, connection, sessionProxy, dbCommandInterpreter, session, database, logger, log, cache, cache, dataFileCache];
